,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,0,0,13836,13519,14768,15546,16795
"+ Cash, Cash Equivalents & STI",0,0,2133,1769,3795,4545,3315
+ Cash & Cash Equivalents,0,0,2128,1764,3526,4459,3191
+ ST Investments,0,0,5,5,269,86,124
+ Accounts & Notes Receiv,0,0,5409,5528,4926,4811,5701
"+ Accounts Receivable, Net",0,0,5409,5528,4926,4811,5701
"+ Notes Receivable, Net",0,0,194,171,163,120,93
"+ Loans Receivable, Net",0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,-194,-171,-163,-120,-93
+ Inventories,0,0,5250,5032,4882,5180,6811
+ Raw Materials,0,0,467,498,485,607,862
+ Work In Process,0,0,1821,1850,1813,2076,2689
+ Finished Goods,0,0,3022,2684,2584,2497,3260
+ Inventory Adjustments,0,0,0,0,0,0,0
+ Other Inventory,0,0,-60,0,0,0,0
+ Other ST Assets,0,0,1044,1190,1165,1010,968
+ Prepaid Expenses,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0
Total Noncurrent Assets,0,0,29044,28878,27881,26798,25823
"+ Property, Plant & Equip, Net",0,0,4544,4546,4396,4329,4254
"+ Property, Plant & Equip",0,0,7340,7872,8253,8364,8551
- Accumulated Depreciation,0,0,2796,3326,3857,4035,4297
+ LT Investments & Receivables,0,0,138,66,66,76,102
+ LT Investments,0,0,138,66,66,76,102
+ LT Receivables,0,0,0,0,0,0,0
+ Other LT Assets,0,0,24362,24266,23419,22393,21467
+ Total Intangible Assets,0,0,22248,21653,21016,20151,19301
+ Goodwill,0,0,10193,10229,10269,10107,9962
+ Other Intangible Assets,0,0,12055,11424,10747,10044,9339
+ LT Deferred Tax Assets,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0
+ Misc LT Assets,0,0,2114,2613,2403,2242,2166
Total Assets,0,0,42880,42397,42649,42344,42618
+ Payables & Accruals,0,0,8105,8231,8545,6340,7332
+ Accounts Payable,0,0,3783,3702,3615,4126,4895
+ Accrued Taxes,0,0,149,95,123,146,183
+ Interest & Dividends Payable,0,0,0,0,0,0,0
+ Other Payables & Accruals,0,0,4173,4434,4807,2068,2254
+ ST Debt,0,0,1889,7,3,17,24
+ ST Borrowings,0,0,1889,7,3,17,24
+ ST Finance Leases,0,0,25,4,1,0,0
+ Other ST Liabilities,0,0,0,0,0,3201,3388
+ Deferred Revenue,0,0,2209,2584,2662,3201,3388
+ Derivatives & Hedging,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0
+ Misc ST Liabilities,0,0,-2209,-2584,-2662,0,0
Total Current Liabilities,0,0,9994,8238,8548,9558,10744
+ LT Debt,0,0,179,115,1102,1100,1283
+ LT Borrowings,0,0,179,115,1102,1100,1283
+ LT Finance Leases,0,0,67,5,0,3,2
+ Other LT Liabilities,0,0,8883,9489,7936,6063,5050
+ Accrued Liabilities,0,0,1501,920,893,1220,1119
+ Pension Liabilities,0,0,5605,6377,5176,3124,2255
+ Deferred Revenue,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0
+ Misc LT Liabilities,0,0,1777,2192,1867,1719,1676
Total Noncurrent Liabilities,0,0,9062,9604,9038,7163,6333
Total Liabilities,0,0,19056,17842,17586,16721,17077
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0
+ Share Capital & APIC,0,0,25972,28004,27714,27758,27858
+ Common Stock,0,0,7,7,7,7,7
+ Additional Paid in Capital,0,0,25965,27997,27707,27751,27851
- Treasury Stock,0,0,0,0,0,0,0
+ Retained Earnings,0,0,-1,-425,0,524,250
+ Other Equity,0,0,-2412,-3270,-2890,-2898,-2806
Equity Before Minority Interest,0,0,23559,24309,24824,25384,25302
+ Minority/Non Controlling Interest,0,0,265,246,239,239,239
Total Equity,0,0,23824,24555,25063,25623,25541
Total Liabilities & Equity,0,0,42880,42397,42649,42344,42618
Shares Outstanding,749,749,749,749,743,727,713
Capital Leases - Total,0,0,92,9,1,3,2
Net Debt,0,0,-60,-1642,-2421,-3342,-1884
Net Debt to Equity,0,0,-0.25,-6.69,-9.66,-13.04,-7.38
Tangible Common Equity Ratio,0,0,8,14,19,25,27
Current Ratio,0,0,1.38,1.64,1.73,1.63,1.56
Cash Conversion Cycle,0,0,131.40,199.53,187.09,164.25,183.17
Number of Employees,0,0,21900,21000,21000,21000,21000
