,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,14041,14240,14287,13846,14217,15655,17455
+ Sales & Services Revenue,14041,14240,14287,13846,14217,15655,17455
- Cost of Revenue,8391,8402,8521,8575,8507,9220,10436
+ Cost of Goods & Services,8391,8402,8521,8575,8507,9220,10436
Gross Profit,5650,5838,5766,5271,5710,6435,7019
+ Other Operating Income,0,0,0,0,0,0,0
- Operating Expenses,4764,5650,4476,4687,4867,5118,5091
"+ Selling, General & Admin",2937,2972,2902,3065,3043,3209,3173
+ Research & Development,1507,1509,1432,1147,1142,1187,1216
+ Other Operating Expense,320,1169,142,475,682,722,702
Operating Income (Loss),886,188,1290,584,843,1317,1928
- Non-Operating (Income) Loss,628,562,5844,900,168,-1029,502
"+ Interest Expense, Net",101,74,-10,77,-11,-47,-45
+ Interest Expense,101,74,76,136,45,30,79
- Interest Income,0,0,86,59,56,77,124
+ Other Non-Op (Income) Loss,527,488,5854,823,179,-982,547
Pretax Income,258,-374,-4554,-316,675,2346,1426
- Income Tax Expense (Benefit),-270,-2943,408,-46,-81,524,210
- (Income) Loss from Affiliates,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,528,2569,-4962,-270,756,1822,1216
- Net Extraordinary Losses (Gains),50,70,58,707,95,73,80
+ Discontinued Operations,0,0,1748,-671,-55,-53,-58
+ Extraord. & Accounting Changes,50,70,-1690,1378,150,126,138
Income (Loss) Incl. MI,478,2499,-5020,-977,661,1749,1136
- Minority Interest,-25,-35,-29,-18,-20,-10,-11
"Net Income, GAAP",503,2534,-4991,-959,681,1759,1147
- Preferred Dividends,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",503,2534,-4991,-959,681,1759,1147
Basic Weighted Avg Shares,749,749,749,750,749,736,721
"Basic EPS, GAAP",0.67,3.38,-6.66,-1.28,0.91,2.39,1.59
Basic EPS from Cont Ops,0.70,3.43,-6.62,-0.36,1.01,2.48,1.69
Diluted Weighted Avg Shares,749,749,749,750,751,742,725
"Diluted EPS, GAAP",0.67,3.38,-6.66,-1.28,0.91,2.37,1.58
Diluted EPS from Cont Ops,0.70,3.43,-6.62,-0.36,1.01,2.46,1.68
EBITDA,1133,458,4080,2183,2020,2560,3151
EBITDA Margin (%),8.07,3.22,28.56,15.77,14.21,16.35,18.05
EBITA,886,188,1290,1708,843,1317,1928
EBIT,886,188,1290,584,843,1317,1928
Gross Margin (%),40.24,41.00,40.36,38.07,40.16,41.11,40.21
Operating Margin (%),6.31,1.32,9.03,4.22,5.93,8.41,11.05
Profit Margin (%),3.58,17.79,-34.93,-6.93,4.79,11.24,6.57
Sales per Employee,0,0,652374,659333,677000,745476,831190
Dividend per Share,0,0,3.74,0.68,0.52,0.54,0.58
Depreciation Expense,247,270,2790,475,1177,1243,1223
