,2019,2020,2021,2022
Sales/Revenue/Turnover,5755,4608,5117,5291
+ Sales & Services Revenue,5755,4608,5117,5291
- Cost of Revenue,1022,887,971,1001
+ Cost of Goods & Services,1022,887,971,1001
Gross Profit,4734,3720,4146,4290
+ Other Operating Income,0,0,0,0
- Operating Expenses,1826,1749,1733,1707
"+ Selling, General & Admin",185,121,145,143
+ Research & Development,0,0,0,0
+ Other Operating Expense,1641,1627,1588,1564
Operating Income (Loss),2908,1972,2413,2584
- Non-Operating (Income) Loss,455,699,-313,48
"+ Interest Expense, Net",789,784,796,761
+ Interest Expense,789,784,796,761
- Interest Income,0,0,0,0
+ Other Non-Op (Income) Loss,-335,-85,-1108,-714
Pretax Income,2453,1273,2726,2536
- Income Tax Expense (Benefit),30,-5,157,84
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,2423,1277,2569,2452
- Net Extraordinary Losses (Gains),643,330,638,626
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,643,330,638,626
Income (Loss) Incl. MI,1780,948,1931,1827
- Minority Interest,-322,-165,-319,-313
"Net Income, GAAP",2102,1113,2250,2140
- Preferred Dividends,3,3,3,3
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",2098,1109,2246,2136
Basic Weighted Avg Shares,308,309,329,328
"Basic EPS, GAAP",6.81,3.59,6.84,6.52
Basic EPS from Cont Ops,7.87,4.14,7.82,7.48
Diluted Weighted Avg Shares,308,309,329,328
"Diluted EPS, GAAP",6.81,3.59,6.84,6.52
Diluted EPS from Cont Ops,7.87,4.14,7.82,7.48
EBITDA,4302,3327,3739,3876
EBITDA Margin (%),74.75,72.20,73.07,73.24
EBITA,2962,2009,2476,2648
EBIT,2908,1972,2413,2584
Gross Margin (%),82.25,80.75,81.02,81.08
Operating Margin (%),50.53,42.80,47.16,48.83
Profit Margin (%),36.52,24.15,43.97,40.43
Sales per Employee,1278931,1396213,1550542,1603469
Dividend per Share,9.58,5.39,8.19,7.91
Depreciation Expense,1341,1318,1263,1227
