,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,6155,8684,8887,10138,10110,11160,11763,15893,14448,17190
ST Debt,24,842,44,550,41,67,547,987,1489,529
LT Debt,6131,7842,8843,9588,10069,11093,11216,14906,12959,16661
Total Debt/EBITDA,1.73,2.01,1.61,4.59,3.27,1.70,2.56,-106.66,6.97,1.53
Net Debt/EBITDA,0.21,0.80,1.05,3.36,2.26,1.24,2.21,-89.79,5.45,0.98
Total Debt/EBIT,2.37,2.61,1.99,9.73,5.71,2.15,3.61,-10.29,30.87,1.79
Net Debt/EBIT,0.29,1.04,1.30,7.13,3.95,1.57,3.11,-8.67,24.15,1.15
EBITDA to Interest Expense,11.87,14.87,16.72,6.16,6.72,12.43,9.56,-0.29,3.43,17.52
EBITDA-CapEx/Interest Expense,5.92,1.90,-0.69,-1.77,2.73,7.42,1.51,-5.89,0.35,14.10
EBIT to Interest Expense,8.70,11.45,13.47,2.90,3.85,9.85,6.78,-2.96,0.77,14.98
Interest Expense,299,291,331,359,460,527,481,521,605,642
Common Equity/Total Assets,11.30,19.11,25.43,24.42,30.00,37.74,37.59,30.16,29.18,33.28
Long-Term Debt/Equity (%),27.38,35.59,36.94,40.41,36.71,40.85,41.28,69.26,59.89,48.85
Long-Term Debt/Capital (%),50.15,42.51,40.05,39.81,35.00,32.48,31.08,42.66,39.10,35.27
Long-Term Debt/Total Assets (%),12.31,16.09,18.20,18.56,18.52,20.43,19.10,27.24,23.31,21.80
Total Debt/Equity (%),27.49,39.41,37.13,42.73,36.86,41.10,43.30,73.84,66.77,50.40
Total Debt/Capital (%),50.35,47.08,40.25,42.09,35.15,32.67,32.59,45.49,43.59,36.39
Total Debt/Total Assets (%),12.36,17.82,18.29,19.63,18.59,20.55,20.03,29.04,25.99,22.49
Net Debt to Equity,3.37,15.78,24.28,31.30,25.49,29.98,37.36,62.16,52.23,32.42
Net Debt/Capital (%),11.06,26.26,30.59,34.74,27.26,26.15,29.44,41.26,37.68,26.90
EBITDA,3548,4326,5535,2210,3089,6549,4600,-149,2073,11249
EBITDA-CapEx,1769,553,-229,-634,1257,3910,727,-3069,213,9055
Operating Income (Loss),2601,3331,4457,1042,1771,5193,3259,-1544,468,9620
