,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,590,546,529,519,502,456,441,437,438,466
Diluted Weighted Avg Shares,619,572,547,530,519,474,454,440,440,474
Basic Weighted Avg Shares,613,566,542,528,515,471,451,440,440,471
Revenue per Share,279.97,284.88,182.49,159.76,198.71,236.79,237.71,145.90,253.34,360.53
EBITDA per Share,5.79,7.64,10.21,4.19,6.00,13.91,10.19,-0.34,4.71,23.86
Operating Income per Share,4.24,5.89,8.22,1.98,3.44,11.03,7.22,-3.51,1.06,20.40
"Basic EPS, GAAP",6.08,8.41,7.79,2.95,9.91,11.89,6.81,-9.04,2.99,23.38
Basic EPS from Cont Ops,6.01,7.23,7.89,3.12,10.19,12.48,7.48,-8.45,3.62,24.16
"Diluted EPS, GAAP",6.02,8.33,7.73,2.93,9.85,11.80,6.78,-9.04,2.99,23.27
Diluted EPS from Cont Ops,5.95,7.16,7.82,3.10,10.12,12.39,7.44,-8.45,3.62,24.05
Dividend per Share,1.32,1.88,2.16,2.43,2.71,3.05,3.48,3.58,3.60,3.80
Cash Flow per Share,9.83,6.24,10.53,5.62,7.08,16.09,10.65,4.80,13.67,22.93
Free Cash Flow per Basic Share,6.93,-0.43,-0.09,0.23,3.53,10.48,2.07,-1.84,9.45,18.28
Cash & Equivalents per Share,9.15,9.53,5.81,5.22,6.21,6.62,3.66,5.75,7.18,13.17
Book Value per Share,9.54,17.05,23.34,24.30,32.48,44.93,50.04,37.78,37.02,54.61
Tangible Book Value per Share,31.51,32.69,37.32,37.70,46.35,50.45,52.22,44.07,44.13,68.24
