,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,133,135,135,139,144,149,152,154
Diluted Weighted Avg Shares,133,133,133,114,149,147,150,153
Basic Weighted Avg Shares,65,65,65,114,142,147,150,153
Revenue per Share,10.62,9.54,11.49,6.49,5.80,5.74,6.81,8.15
EBITDA per Share,1.40,0.75,1.50,0.99,0.91,0.41,0.28,0.41
Operating Income per Share,0.54,-0.06,0.61,0.49,0.51,0.05,-0.24,-0.17
"Basic EPS, GAAP",-1.60,-1.64,-0.45,-0.60,0.55,-0.03,-0.50,-0.48
Basic EPS from Cont Ops,-1.36,-1.61,-0.15,-0.31,0.55,-0.03,-0.50,-0.48
"Diluted EPS, GAAP",-0.79,-0.80,-0.22,-0.60,0.53,-0.03,-0.50,-0.48
Diluted EPS from Cont Ops,-0.67,-0.79,-0.07,-0.31,0.53,-0.03,-0.50,-0.48
Dividend per Share,0,0,0,0,0,0,0,0
Cash Flow per Share,-0.28,-1.16,-0.61,0.08,0.36,-0.21,0.32,0.87
Free Cash Flow per Basic Share,-0.81,-1.66,-1.39,-0.27,-0.03,-0.61,-0.10,0.25
Cash & Equivalents per Share,0,28.42,31.13,20.23,24.14,1.27,2.42,2.81
Book Value per Share,0,-2.36,-2.58,-2.40,-1.58,-1.56,-2.02,-2.41
Tangible Book Value per Share,0,-10.75,-10.05,-3.58,-1.86,-0.87,-2.82,-2.94
