,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0.99,0.98,1.02,1.03,0.05,0.10,0.10
Current Ratio,0,1.02,1.01,1.06,1.07,1.07,1.11,1.08
Quick Ratio,0,1.01,1.00,1.04,1.06,0.07,0.14,0.13
CFO/Avg Current Liab,0,-0.04,-0.01,0.00,0.02,-0.01,0.01,0.03
Common Equity/Total Assets,0,-5.02,-5.16,-6.37,-3.75,-3.47,-4.29,-4.69
Long-Term Debt/Equity (%),0,113.31,99.19,41.07,37.00,33.09,51.95,58.65
Long-Term Debt/Capital (%),0,110.89,112.49,197.41,142.82,144.75,133.15,139.98
Long-Term Debt/Total Assets (%),0,18.02,16.64,12.64,11.44,10.36,16.15,15.63
Total Debt/Equity (%),0,113.54,99.19,41.49,38.04,33.93,52.83,59.49
Total Debt/Capital (%),0,111.11,112.49,199.43,146.84,148.44,135.41,141.99
Total Debt/Total Assets (%),0,18.05,16.64,12.77,11.77,10.62,16.42,15.85
CFO/Total Liabilities,0,-1.42,-0.71,0.26,1.20,-0.66,0.99,2.28
CFO/CapEx,-0.53,-2.29,-0.78,0.24,0.92,-0.51,0.77,1.40
Altman's Z-Score,0,0.06,0.10,0.99,1.67,2.23,2.15,1.22
