,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,122.75,0,0,0
Price/Earnings Average,0,0,0,-60.96,91.30,-2780.41,-201.41,-130.58
Price/Earnings High,0,0,0,-75.11,123.38,-4107.12,-260.05,-219.83
Price/Earnings Low,0,0,0,-47.84,59.86,-1409.03,-155.99,-90.08
Price/Book Value,0,0,0,-14.17,-42.99,-67.41,-51.71,-26.60
Price/Book Value Average,0,0,0,-15.23,-31.98,-48.46,-49.88,-25.98
Price/Book Value High,0,0,0,-18.77,-43.21,-71.59,-64.40,-43.74
Price/Book Value Low,0,0,0,-11.95,-20.97,-24.56,-38.63,-17.92
Price/Tangible Book Value,0,0,0,-9.49,-36.49,-121.77,-37.12,-21.83
Price/Tangible Book Value Average,0,0,0,-10.19,-27.14,-87.54,-35.81,-21.32
Price/Tangible Book Value High,0,0,0,-12.56,-36.68,-129.31,-46.23,-35.90
Price/Tangible Book Value Low,0,0,0,-8.00,-17.79,-44.36,-27.73,-14.71
Price/Sales,0,0,0,5.23,11.72,18.36,15.37,7.87
Price/Sales Average,0,0,0,5.62,8.72,13.20,14.83,7.69
Price/Sales High,0,0,0,6.93,11.78,19.50,19.14,12.95
Price/Sales Low,0,0,0,4.41,5.72,6.69,11.48,5.31
Price/Cash Flow,0,0,0,407.82,190.92,-512.25,322.63,73.99
Price/Cash Flow Average,0,0,0,438.27,142.00,-368.27,311.20,72.28
Price/Cash Flow High,0,0,0,540.00,191.89,-543.99,401.80,121.68
Price/Cash Flow Low,0,0,0,343.95,93.10,-186.63,241.01,49.86
Price/Free Cash Flow,0,0,0,77.95,95.62,522.64,139.95,43.20
Price/Free Cash Flow Average,0,0,0,83.77,71.12,375.73,134.99,42.21
Price/Free Cash Flow High,0,0,0,103.22,96.11,555.02,174.29,71.05
Price/Free Cash Flow Low,0,0,0,65.74,46.63,190.41,104.55,29.11
EV/Sales,0,0,0,3.49,8.56,19.21,16.32,8.58
EV/Sales Average,0,1.95,1.66,7.48,9.39,13.98,15.77,8.40
EV/Sales High,0,1.95,1.66,9.08,12.50,20.36,20.14,13.69
EV/Sales Low,0,1.95,1.66,6.00,6.34,7.39,12.40,6.00
EV/EBITDA,0,0,0,22.95,54.48,271.53,398.10,169.19
EV/EBITDA Average,0,24.78,12.70,49.19,59.80,197.68,384.68,165.59
EV/EBITDA High,0,24.78,12.70,59.67,79.63,287.81,491.07,269.86
EV/EBITDA Low,0,24.78,12.70,39.47,40.37,104.51,302.27,118.26
EV/EBIT,0,0,0,46.10,97.51,2074.76,0,0
EV/EBIT Average,0,-289.12,31.09,98.81,107.03,1510.45,-455.12,-405.63
EV/EBIT High,0,-289.12,31.09,119.88,142.52,2199.14,-580.98,-661.04
EV/EBIT Low,0,-289.12,31.09,79.28,72.24,798.57,-357.61,-289.70
Last Price,0,0,0,33.97,68.01,105.40,104.68,64.15
High Price,0,0,0,44.98,68.35,111.93,130.37,105.50
Low Price,0,0,0,28.65,33.17,38.40,78.20,43.23
Enterprise Value,0,-2488,-2856,2586,7050,16183,16720,10693
Enterprise Value Average,0,1214,1243,5544,7738,11781,16157,10465
Enterprise Value High,0,1214,1243,6725,10304,17153,20625,17055
Enterprise Value Low,0,1214,1243,4448,5223,6229,12695,7474
