,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,0,0,0,4737,9820,15659,15911,9870
- Cash & Cash Equivalents,0,131,100,218,281,188,368,432
+ Preferred Equity and Hybrid Capital,0,165,185,0,0,0,0,0
+ Minority/Non Controlling Interest,0,39,38,0,0,0,0,0
+ Total Debt,0,1142,1120,670,716,712,1177,1255
Enterprise Value,0,-2488,-2856,2586,7050,16183,16720,10693
Total Capital,0,1028,996,336,488,480,869,884
Total Debt/Capital (%),0,111.11,112.49,199.43,146.84,148.44,135.41,141.99
Total Debt / EV,0,-0.46,-0.39,0.26,0.10,0.04,0.07,0.12
EV/Sales,0,0,0,3.49,8.56,19.21,16.32,8.58
EV/EBITDA,0,0,0,22.95,54.48,271.53,398.10,169.19
EV/EBIT,0,0,0,46.10,97.51,2074.76,0,0
EV/Cash Flow to Firm,0,0,0,21.79,56.43,0,212.25,64.43
EV/Free Cash Flow to Firm,0,0,0,16.28,39.14,467.45,117.35,41.05
Diluted Market Cap,0,0,0,3874,10117,15470,15744,9811
Diluted Enterprise Value,0,1214,1243,4327,10552,15994,16553,10634
EV per Share,0,0,0,18.55,48.83,108.92,110.00,69.50
TTM Sales,694,623,751,741,824,843,1024,1246
TTM EBITDA,91,49,98,113,129,60,42,63
TTM Operating Income,35,-4,40,56,72,8,-35,-26
TTM Cash Flow to Firm,79,18,-24,119,125,-25,79,166
TTM Free Cash Flow to Firm,113,51,27,159,180,35,142,260
