,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,47,97,422,798,907,1086,1343,2411,2345,2827,4522,5220,6654
"+ Cash, Cash Equivalents & STI",29,60,315,635,669,801,899,1779,1498,1691,3092,3304,4280
+ Cash & Cash Equivalents,29,60,119,366,252,412,401,726,566,776,1677,1728,1470
+ ST Investments,0,0,196,268,416,389,498,1053,932,915,1415,1576,2810
+ Accounts & Notes Receiv,15,24,78,108,159,203,323,435,575,835,1009,1390,1725
"+ Accounts Receivable, Net",10,24,78,108,159,203,323,435,575,835,1009,1390,1725
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",5,0,0,0,0,0,0,0,0,0,0,0,0
+ Inventories,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Raw Materials,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,3,13,29,55,79,81,120,196,272,301,420,526,649
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,4,12,56,371,518,721,691,987,1534,3196,4193,5578,6645
"+ Property, Plant & Equip, Net",2,9,26,37,37,43,31,10,9,413,482,532,740
"+ Property, Plant & Equip",2,12,42,76,104,145,182,245,347,871,1114,1357,1735
- Accumulated Depreciation,1,2,16,38,67,101,151,235,339,457,632,825,995
+ LT Investments & Receivables,0,0,0,255,267,423,263,391,582,1013,1468,1630,2117
+ LT Investments,0,0,0,255,267,423,263,391,582,1013,1468,1630,2117
+ LT Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,2,2,30,78,214,255,398,586,944,1769,2243,3416,3788
+ Total Intangible Assets,0,0,1,15,110,99,148,216,249,301,394,1064,1056
+ Goodwill,0,0,0,9,55,56,83,129,149,157,241,777,824
+ Other Intangible Assets,0,0,1,6,55,43,66,87,101,144,153,287,232
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,2,2,29,63,105,157,249,370,695,1468,1849,2352,2732
Total Assets,51,109,478,1168,1425,1807,2034,3398,3879,6022,8715,10798,13299
+ Payables & Accruals,11,13,58,76,97,139,210,277,361,514,702,939,1249
+ Accounts Payable,2,2,10,7,18,37,38,32,31,53,34,89,274
+ Accrued Taxes,6,7,2,4,8,9,19,26,35,38,58,101,109
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,4,4,46,64,72,92,152,219,295,423,610,749,866
+ ST Debt,0,0,0,0,0,0,0,543,0,53,72,174,96
+ ST Borrowings,0,0,0,0,0,0,0,543,0,0,0,92,0
+ ST Finance Leases,0,0,0,0,0,0,0,0,0,53,72,82,96
+ Other ST Liabilities,34,75,154,253,410,593,865,1280,1652,2186,2963,3836,4660
+ Deferred Revenue,31,67,154,253,410,593,865,1280,1652,2186,2963,3836,4660
