,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,-30,10,-37,-74,-179,-198,-452,-149,-27,627,119,230,325
+ Depreciation & Amortization,0,1,14,24,42,60,83,114,150,252,336,472,433
+ Non-Cash Items,4,7,43,102,235,351,432,553,547,279,1050,1431,1791
+ Stock-Based Compensation,1,3,28,66,154,258,318,394,544,662,870,1131,1401
+ Deferred Income Taxes,0,0,-2,-2,-3,-4,-3,-9,-34,-576,-24,-34,15
+ Asset Impairment Charge,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Other Non-Cash Adj,3,4,18,38,84,97,118,168,38,192,204,334,375
+ Chg in Non-Cash Work Cap,18,19,29,29,41,102,96,125,141,78,281,58,174
+ (Inc) Dec in Accts Receiv,-5,-15,-33,-30,-57,-51,-125,-98,-146,-260,-151,-401,-340
+ (Inc) Dec in Inventories,0,0,0,0,0,0,0,0,0,0,0,0,0
+ (Inc) Dec in Prepaid Assets,-5,-3,-3,3,-6,-11,-21,-46,-20,-30,-54,-93,-39
+ Inc (Dec) in Accts Payable,10,6,28,16,9,48,79,63,77,86,141,157,215
+ Inc (Dec) in Other,19,31,37,39,95,116,164,207,229,282,346,395,338
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,-8,37,49,82,139,315,160,643,811,1236,1787,2191,2723
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-2,-9,-42,-55,-54,-89,-128,-157,-249,-338,-433,-399,-550
+ Acq of Fixed Prod Assets,-2,-9,-42,-55,-54,-87,-106,-151,-224,-265,-419,-392,-550
+ Acq of Intangible Assets,0,0,0,0,0,-2,-23,-7,-24,-73,-13,-7,0
+ Net Change in LT Investment,0,0,-197,-334,-163,-141,50,-669,-61,-379,-967,-437,-1960
+ Dec in LT Investment,0,0,43,237,359,582,570,526,1235,1216,1967,2119,2245
+ Inc in LT Investment,0,0,-241,-571,-521,-723,-519,-1194,-1296,-1596,-2934,-2556,-4205
+ Net Cash From Acq & Div,0,0,0,-13,-100,-1,-34,-58,-37,-7,-107,-785,-91
+ Cash from Divestitures,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Cash for Acq of Subs,0,0,0,-13,-100,-1,-34,-58,-37,-7,-107,-785,-91
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,0,0,0,0,0,0,0,0,0,0,0,14,18
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-1,-8,-239,-403,-317,-232,-113,-884,-347,-724,-1507,-1607,-2583
+ Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Net Cash From Debt,0,0,0,563,0,0,0,767,-431,0,-146,-61,-94
+ Cash From Debt,0,0,0,563,0,0,0,772,0,0,1482,0,0
+ Repayments of Debt,0,0,0,0,0,0,0,-5,-431,0,-1628,-61,-94
+ Cash (Repurchase) of Equity,-21,0,236,0,0,0,0,-55,0,0,0,0,0
+ Increase in Capital Stock,0,0,238,0,0,0,0,0,0,0,0,0,0
+ Decrease in Capital Stock,-21,0,-2,0,0,0,0,-55,0,0,0,0,0
+ Other Financing Activities,51,1,6,6,71,83,-51,-173,-177,-302,743,-445,-250
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,31,1,242,569,71,83,-52,539,-607,-302,597,-506,-344
Effect of Foreign Exchange Rates,0,0,-1,0,-7,-6,-7,28,-16,0,25,-25,-53
Net Changes in Cash,22,30,51,248,-107,166,-4,298,-144,210,876,78,-204
EBITDA,-28,12,-24,-42,-110,-106,-70,12,107,294,535,729,788
EBITDA Margin (%),-64.23,12.99,-9.88,-9.92,-16.08,-10.54,-5.01,0.64,4.11,8.50,11.84,12.36,10.88
Net Cash Paid for Acquisitions,0,0,0,13,100,1,34,58,37,7,107,785,91
Free Cash Flow,-9,29,7,26,85,226,32,486,562,898,1354,1792,2173
Free Cash Flow to Firm,0,29,0,0,0,0,0,0,0,0,1380,1818,2195
Free Cash Flow to Equity,0,29,7,589,85,227,54,1260,156,971,1221,1738,2079
Free Cash Flow per Basic Share,-0.36,1.14,0.09,0.20,0.58,1.45,0.19,2.84,3.16,4.82,7.01,9.05,10.81
Price/Free Cash Flow,0,0,23.64,54.84,51.05,33.65,42.42,27.90,30.26,35.45,49.94,51.30,24.20
Cash Flow to Net Income,0.25,3.81,-1.31,-1.11,-0.77,-1.59,-0.35,-4.31,-30.37,1.97,15.08,9.53,8.38
