,2019,2020,2021,2022
+ Net Income,200,69,161,93
+ Depreciation & Amortization,508,619,620,680
+ Non-Cash Items,-74,-36,-95,51
+ Stock-Based Compensation,24,20,22,28
+ Deferred Income Taxes,0,0,0,0
+ Asset Impairment Charge,0,0,0,0
+ Other Non-Cash Adj,-98,-56,-117,24
+ Chg in Non-Cash Work Cap,-3,-47,-22,-3
+ (Inc) Dec in Accts Receiv,0,0,0,0
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,0,0,0
+ Inc (Dec) in Accts Payable,0,0,0,0
+ Inc (Dec) in Other,-3,-47,-22,-3
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,631,604,664,820
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-184,-174,-167,-236
+ Acq of Fixed Prod Assets,-184,-174,-167,-236
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,0,0,0,0
+ Dec in LT Investment,0,0,0,0
+ Inc in LT Investment,0,0,0,0
+ Net Cash From Acq & Div,-105,-78,-112,-201
+ Cash from Divestitures,0,0,0,0
+ Cash for Acq of Subs,-105,-78,-112,-201
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-1397,-209,-993,-492
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-1687,-461,-1272,-930
+ Dividends Paid,-387,-424,-438,-488
+ Net Cash From Debt,616,406,212,-3
+ Cash From Debt,1478,1132,513,0
+ Repayments of Debt,-862,-726,-301,-3
+ Cash (Repurchase) of Equity,725,82,899,581
+ Increase in Capital Stock,725,102,899,630
+ Decrease in Capital Stock,0,-20,0,-49
+ Other Financing Activities,-73,-217,-60,21
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,880,-153,613,111
Effect of Foreign Exchange Rates,0,0,0,0
Net Changes in Cash,-176,-9,4,2
EBITDA,724,751,755,915
EBITDA Margin (%),62.85,60.47,58.53,60.28
Net Cash Paid for Acquisitions,105,78,112,201
Free Cash Flow,446,430,497,584
Free Cash Flow to Firm,585,572,640,746
Free Cash Flow to Equity,0,830,705,577
Free Cash Flow per Basic Share,1.56,1.46,1.66,1.82
Price/Free Cash Flow,16.39,0,0,11.83
Cash Flow to Net Income,3.41,9.40,4.43,9.43
