,2019,2020,2021,2022
Sales/Revenue/Turnover,1152,1241,1291,1517
+ Sales & Services Revenue,1152,1241,1291,1517
- Cost of Revenue,864,1027,1063,1186
+ Cost of Goods & Services,864,1027,1063,1186
Gross Profit,288,215,228,331
+ Other Operating Income,0,0,0,0
- Operating Expenses,72,83,92,96
"+ Selling, General & Admin",52,50,58,64
+ Research & Development,0,0,0,0
+ Other Operating Expense,21,33,35,32
Operating Income (Loss),216,132,136,235
- Non-Operating (Income) Loss,13,60,-27,142
"+ Interest Expense, Net",126,141,129,163
+ Interest Expense,141,147,144,163
- Interest Income,15,6,15,0
+ Other Non-Op (Income) Loss,-113,-81,-156,-21
Pretax Income,203,72,162,93
- Income Tax Expense (Benefit),4,3,1,0
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,200,69,161,93
- Net Extraordinary Losses (Gains),29,9,22,11
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,29,9,22,11
Income (Loss) Incl. MI,170,60,139,81
- Minority Interest,-15,-5,-11,-6
"Net Income, GAAP",185,64,150,87
- Preferred Dividends,4,4,4,4
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",181,60,146,83
Basic Weighted Avg Shares,285,295,300,322
"Basic EPS, GAAP",0.63,0.20,0.49,0.26
Basic EPS from Cont Ops,0.70,0.23,0.54,0.29
Diluted Weighted Avg Shares,286,295,302,323
"Diluted EPS, GAAP",0.63,0.20,0.48,0.26
Diluted EPS from Cont Ops,0.70,0.23,0.53,0.29
EBITDA,724,751,755,915
EBITDA Margin (%),62.85,60.47,58.53,60.28
EBITA,718,741,742,900
EBIT,216,132,136,235
Gross Margin (%),25.03,17.29,17.67,21.82
Operating Margin (%),18.77,10.63,10.51,15.49
Profit Margin (%),16.05,5.18,11.62,5.73
Sales per Employee,852845,976526,1050258,1144333
Dividend per Share,1.36,1.44,1.46,1.52
Depreciation Expense,7,10,13,14
