,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,5535,6265,6394,6497,6873,10553,11144,10671,12191,33817
+ Sales & Services Revenue,5535,6265,6394,6497,6873,10553,11144,10671,12191,33817
- Cost of Revenue,1689,2124,2343,2432,2656,3935,3819,3860,4620,20442
+ Cost of Goods & Services,1689,2124,2343,2432,2656,3935,3819,3860,4620,20442
Gross Profit,3846,4141,4051,4065,4217,6618,7325,6811,7571,13375
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,1851,2021,1999,2012,2098,4018,4135,4081,5598,16871
"+ Selling, General & Admin",1575,1692,1669,1690,1768,2620,2788,2722,4016,9678
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,276,329,330,322,330,1398,1347,1359,1582,7193
Operating Income (Loss),1995,2120,2052,2053,2119,2600,3190,2730,1973,-3496
- Non-Operating (Income) Loss,259,373,493,382,2256,1578,896,1002,540,5464
"+ Interest Expense, Net",306,328,330,353,454,714,655,638,615,1777
+ Interest Expense,306,328,330,353,475,729,677,648,633,1777
- Interest Income,0,0,0,0,21,15,22,10,18,0
+ Other Non-Op (Income) Loss,-47,45,163,29,1802,864,241,364,-75,3687
Pretax Income,1736,1747,1559,1671,-137,1022,2294,1728,1433,-8960
- Income Tax Expense (Benefit),659,610,511,453,176,341,81,373,236,-1663
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,1077,1137,1048,1218,-313,681,2213,1355,1197,-7297
- Net Extraordinary Losses (Gains),4,-4,28,48,48,174,288,272,382,148
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,4,-4,28,48,48,174,288,272,382,148
Income (Loss) Incl. MI,1073,1141,1020,1170,-361,507,1925,1083,815,-7445
- Minority Interest,-2,2,-14,-24,-24,-87,-144,-136,-191,-74
"Net Income, GAAP",1075,1139,1034,1194,-337,594,2069,1219,1006,-7371
- Preferred Dividends,0,236,0,405,-112,160,518,128,110,49
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",1075,903,1034,789,-225,434,1551,1091,896,-7420
Basic Weighted Avg Shares,331,454,432,401,384,498,529,505,588,1940
"Basic EPS, GAAP",3.25,1.99,2.39,1.97,-0.59,0.87,2.93,2.16,1.52,-3.82
Basic EPS from Cont Ops,3.25,2.50,2.43,3.04,-0.82,1.37,4.18,2.68,2.04,-3.76
Diluted Weighted Avg Shares,722,687,656,610,576,688,711,672,664,1940
"Diluted EPS, GAAP",1.49,1.31,1.58,1.29,-0.39,0.63,2.18,1.62,1.35,-3.82
Diluted EPS from Cont Ops,1.49,1.66,1.60,2.00,-0.54,0.99,3.11,2.02,1.80,-3.76
EBITDA,3461,4006,4091,4148,4359,7286,7390,7045,7056,17858
EBITDA Margin (%),62.53,63.94,63.98,63.84,63.42,69.04,66.31,66.02,57.88,52.81
EBITA,1995,2120,2052,2053,2119,2600,3190,2730,1973,-3496
EBIT,1995,2120,2052,2053,2119,2600,3190,2730,1973,-3496
Gross Margin (%),69.49,66.10,63.36,62.57,61.36,62.71,65.73,63.83,62.10,39.55
Operating Margin (%),36.04,33.84,32.09,31.60,30.83,24.64,28.63,25.58,16.18,-10.34
Profit Margin (%),19.42,18.18,16.17,18.38,-4.90,5.63,18.57,11.42,8.25,-21.80
Sales per Employee,971053,921324,913429,928143,981857,1172556,1211304,1088878,1108273,901787
Dividend per Share,0,0,0,0,0,0,0,0,0,0
Depreciation Expense,1466,1886,2039,2095,2240,4686,4200,4315,5083,21354
