,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,849,848,856,866,873,871,878,885,896,902
Diluted Weighted Avg Shares,902,852,853,861,870,877,875,881,892,908
Basic Weighted Avg Shares,898,848,853,861,870,875,875,881,892,904
Revenue per Share,32.74,38.76,27.71,18.45,23.70,27.42,25.61,16.40,17.15,22.45
EBITDA per Share,5.61,8.52,1.96,-6.13,3.35,29.26,27.47,-1.56,3.00,4.03
Operating Income per Share,3.49,6.01,-0.19,-7.87,1.57,27.42,25.61,-2.77,1.99,2.99
"Basic EPS, GAAP",2.37,4.13,-0.79,-6.69,-0.53,1.89,-1.29,-3.34,1.63,1.74
Basic EPS from Cont Ops,2.36,4.05,-0.78,-6.70,-0.52,1.89,-1.29,-3.34,1.65,1.76
"Diluted EPS, GAAP",2.36,4.11,-0.79,-6.69,-0.53,1.89,-1.29,-3.34,1.63,1.73
Diluted EPS from Cont Ops,2.35,4.03,-0.78,-6.70,-0.52,1.89,-1.29,-3.34,1.65,1.76
Dividend per Share,0.52,0.63,0.72,0.72,0.72,0.72,0.72,0.32,0.18,0.48
Cash Flow per Share,4.95,4.79,3.41,-1.98,2.84,3.61,2.79,2.14,2.14,2.48
Free Cash Flow per Basic Share,1.68,0.92,0.85,-2.90,1.26,1.29,1.05,1.31,1.25,1.36
Cash & Equivalents per Share,2.78,2.70,11.77,4.63,2.68,2.31,2.58,2.90,3.40,2.60
Book Value per Share,25.35,28.88,27.10,19.42,17.57,18.84,16.69,12.83,13.81,14.67
Tangible Book Value per Share,13.48,16.47,15.64,8.09,6.48,7.71,5.94,2.46,4.34,5.71
