,2019,2020,2021,2022
Cash Ratio,1.26,1.45,1.00,0.47
Current Ratio,1.45,1.55,1.66,0.96
Quick Ratio,1.31,1.46,1.15,0.82
CFO/Avg Current Liab,0,-0.21,0.24,1.27
Common Equity/Total Assets,-2.44,-9.10,-9.59,-7.60
Long-Term Debt/Equity (%),45.68,72.69,72.72,55.08
Long-Term Debt/Capital (%),80.30,91.87,108.59,94.25
Long-Term Debt/Total Assets (%),27.72,36.28,38.69,30.88
Total Debt/Equity (%),58.93,95.60,83.00,69.53
Total Debt/Capital (%),103.58,120.82,123.95,118.98
Total Debt/Total Assets (%),35.76,47.72,44.16,38.98
CFO/Total Liabilities,25.84,-4.76,5.05,26.27
CFO/CapEx,2.24,-0.62,0.68,2.81
Altman's Z-Score,2.32,-0.16,0.08,1.77
