,2019,2020,2021,2022
Market Capitalization,13234,0,0,11450
- Cash & Cash Equivalents,1573,2335,807,667
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,148,113,131,169
+ Total Debt,4400,6151,5455,4783
Enterprise Value,16209,3929,4779,15735
Total Capital,4248,5091,4401,4020
Total Debt/Capital (%),103.58,120.82,123.95,118.98
Total Debt / EV,0.27,1.57,1.14,0.30
EV/Sales,2.96,2.43,1.65,3.21
EV/EBITDA,11.03,0,9.48,11.07
EV/EBIT,20.41,0,0,20.76
EV/Cash Flow to Firm,11.06,0,15.29,10.05
EV/Free Cash Flow to Firm,8.01,11.50,6.46,7.60
Diluted Market Cap,13562,0,0,11516
Diluted Enterprise Value,16537,3929,4779,15801
EV per Share,22.72,5.57,6.69,22.06
TTM Sales,5469,1620,2890,4907
TTM EBITDA,1470,-288,504,1422
TTM Operating Income,794,-953,-258,758
TTM Cash Flow to Firm,1465,-157,313,1566
TTM Free Cash Flow to Firm,2023,342,740,2070
