,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,2764,3973,4022,6914,7222,9859,11090,13991,12479,13048
ST Debt,25,727,769,228,632,1373,859,761,7,1191
LT Debt,2739,3246,3253,6686,6590,8486,10231,13230,12472,11857
Total Debt/EBITDA,1.72,2.45,1.57,2.41,2.33,3.00,3.01,4.58,3.39,3.23
Net Debt/EBITDA,0.88,1.34,0.25,1.25,1.51,1.90,1.83,3.62,2.59,2.77
Total Debt/EBIT,2.12,3.19,1.86,2.98,2.93,3.85,3.82,6.25,4.64,4.29
Net Debt/EBIT,1.09,1.75,0.30,1.55,1.90,2.44,2.32,4.93,3.55,3.68
EBITDA to Interest Expense,0,0,0,0,0,0,0,0,0,0
EBITDA-CapEx/Interest Expense,0,0,0,0,0,0,0,0,0,0
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,0,0,0,0,0,0,0,0,0,0
Common Equity/Total Assets,48.62,42.89,48.19,43.45,40.68,39.67,39.07,36.41,39.03,40.13
Long-Term Debt/Equity (%),30.28,37.76,38.22,70.01,65.94,72.34,79.89,101.12,83.83,71.36
Long-Term Debt/Capital (%),26.29,28.06,27.45,42.34,40.53,41.07,44.73,49.94,47.97,42.57
Long-Term Debt/Total Assets (%),17.40,18.33,20.02,32.72,29.71,31.17,33.91,38.54,36.01,32.15
Total Debt/Equity (%),30.55,46.22,47.26,72.40,72.26,84.05,86.59,106.93,83.88,78.53
Total Debt/Capital (%),26.53,34.34,33.94,43.78,44.42,47.72,48.48,52.81,48.00,46.85
Total Debt/Total Assets (%),17.56,22.43,24.76,33.83,32.56,36.21,36.76,40.75,36.03,35.38
Net Debt to Equity,15.75,25.34,7.55,37.68,46.83,53.22,52.73,84.44,64.09,67.43
Net Debt/Capital (%),15.69,22.28,7.59,28.84,34.12,36.63,36.43,46.92,41.36,43.08
EBITDA,1611,1624,2554,2870,3105,3283,3683,3052,3677,4040
EBITDA-CapEx,1416,1391,2284,2380,2507,2711,3034,2565,3152,3452
Operating Income (Loss),1304,1246,2157,2324,2463,2560,2905,2240,2687,3042
