,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,102,177,123,48,274,17736,19263
+ Sales & Services Revenue,102,177,123,48,274,17736,19263
- Cost of Revenue,0,0,0,0,8,2617,5416
+ Cost of Goods & Services,0,0,0,0,8,2617,5416
Gross Profit,102,177,123,48,267,15119,13847
+ Other Operating Income,0,0,0,0,0,0,0
- Operating Expenses,325,446,536,594,1030,1823,4427
"+ Selling, General & Admin",57,65,94,110,188,567,1132
+ Research & Development,275,410,454,496,1370,1991,3295
+ Other Operating Expense,-7,-29,-13,-12,-529,-735,0
Operating Income (Loss),-224,-269,-413,-546,-763,13296,9420
- Non-Operating (Income) Loss,-9,-13,-29,-31,-19,11,-155
"+ Interest Expense, Net",-11,-15,-30,-32,-15,0,-171
+ Interest Expense,0,0,-3,7,10,18,29
- Interest Income,11,15,27,39,25,18,200
+ Other Non-Op (Income) Loss,3,2,1,1,-4,11,16
Pretax Income,-215,-256,-384,-515,-745,13285,9575
- Income Tax Expense (Benefit),1,0,0,-1,3,1083,1213
- (Income) Loss from Affiliates,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,-216,-256,-385,-514,-747,12202,8362
- Net Extraordinary Losses (Gains),0,0,0,0,0,0,0
+ Discontinued Operations,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0,0,0,0
Income (Loss) Incl. MI,-216,-256,-385,-514,-747,12202,8362
- Minority Interest,0,0,0,0,0,0,0
"Net Income, GAAP",-216,-256,-385,-514,-747,12202,8362
- Preferred Dividends,5,14,13,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",-222,-270,-398,-514,-747,12202,8362
Basic Weighted Avg Shares,376,376,81,331,381,403,394
"Basic EPS, GAAP",-0.59,-0.72,-4.90,-1.55,-1.96,30.28,21.22
Basic EPS from Cont Ops,-0.58,-0.68,-4.74,-1.55,-1.96,30.28,21.22
Diluted Weighted Avg Shares,376,376,81,331,381,431,416
"Diluted EPS, GAAP",-0.59,-0.72,-4.90,-1.55,-1.96,28.31,20.10
Diluted EPS from Cont Ops,-0.58,-0.68,-4.74,-1.55,-1.96,28.31,20.10
EBITDA,-209,-249,-388,-515,-732,13528,9768
EBITDA Margin (%),-205.50,-140.60,-317.03,-1071.49,-266.64,76.27,50.71
EBITA,-224,-269,-413,-546,-763,13296,9420
EBIT,-224,-269,-413,-546,-763,13296,9420
Gross Margin (%),100.00,100.00,100.00,100.00,97.11,85.24,71.88
Operating Margin (%),-220.39,-152.20,-337.33,-1136.06,-278.02,74.97,48.90
Profit Margin (%),-212.94,-144.61,-314.04,-1070.07,-272.16,68.80,43.41
Sales per Employee,0,252820,161200,57875,211146,6568889,4939231
Dividend per Share,0,0,0,0,0,0,0
Depreciation Expense,15,21,25,31,31,232,348
