,2019,2020,2021,2022
Market Capitalization,25014,39103,50304,29193
- Cash & Cash Equivalents,90,109,143,142
+ Preferred Equity and Hybrid Capital,1434,951,732,732
+ Minority/Non Controlling Interest,770,771,519,2039
+ Total Debt,10816,14773,14960,18068
Enterprise Value,37945,55490,66373,49890
Total Capital,9976,12500,12582,16143
Total Debt/Capital (%),108.42,118.19,118.90,111.92
Total Debt / EV,0.29,0.27,0.23,0.36
EV/Sales,11.82,14.21,14.99,10.63
EV/EBITDA,26.34,27.15,29.45,22.04
EV/EBIT,60.14,81.95,86.53,72.81
EV/Cash Flow to Firm,20.40,27.64,33.38,25.77
EV/Free Cash Flow to Firm,20.40,27.64,33.38,25.77
Diluted Market Cap,25083,36625,50093,29872
Diluted Enterprise Value,38014,53011,66162,50569
EV per Share,181.64,197.97,233.37,171.36
TTM Sales,3209,3904,4428,4692
TTM EBITDA,1440,2043,2254,2263
TTM Operating Income,631,677,767,685
TTM Cash Flow to Firm,1860,2008,1989,1936
TTM Free Cash Flow to Firm,1860,2008,1989,1936
