,2019,2020,2021,2022
Price/Earnings,49.42,129.66,30.03,85.16
Price/Earnings Average,49.09,130.58,25.77,107.60
Price/Earnings High,56.26,153.80,30.26,150.45
Price/Earnings Low,41.29,97.58,21.17,72.83
Price/Book Value,-8.22,-9.79,-13.86,-6.22
Price/Book Value Average,-8.16,-9.86,-11.89,-7.86
Price/Book Value High,-9.35,-11.61,-13.97,-10.98
Price/Book Value Low,-6.86,-7.37,-9.77,-5.32
Price/Tangible Book Value,6.98,6.47,7.07,4.43
Price/Tangible Book Value Average,6.94,6.52,6.06,5.60
Price/Tangible Book Value High,7.95,7.68,7.12,7.83
Price/Tangible Book Value Low,5.83,4.87,4.98,3.79
Price/Sales,7.77,9.30,11.28,6.12
Price/Sales Average,7.72,9.36,9.68,7.73
Price/Sales High,8.85,11.03,11.37,10.81
Price/Sales Low,6.49,7.00,7.95,5.23
Price/Cash Flow,16.48,21.26,29.35,17.30
Price/Cash Flow Average,16.37,21.41,25.18,21.86
Price/Cash Flow High,18.76,25.22,29.57,30.57
Price/Cash Flow Low,13.77,16.00,20.68,14.80
Price/Free Cash Flow,16.57,21.46,29.43,18.00
Price/Free Cash Flow Average,16.46,21.61,25.25,22.75
Price/Free Cash Flow High,18.86,25.46,29.65,31.80
Price/Free Cash Flow Low,13.84,16.15,20.74,15.40
EV/Sales,11.82,14.21,14.99,10.63
EV/Sales Average,11.77,14.29,13.38,12.27
EV/Sales High,12.90,16.08,15.08,15.40
EV/Sales Low,10.54,11.74,11.64,9.73
EV/EBITDA,26.34,27.15,29.45,22.04
EV/EBITDA Average,26.23,27.29,26.28,25.44
EV/EBITDA High,28.75,30.72,29.62,31.93
EV/EBITDA Low,23.49,22.42,22.86,20.18
EV/EBIT,60.14,81.95,86.53,72.81
EV/EBIT Average,59.88,82.36,77.22,84.04
EV/EBIT High,65.63,92.70,87.03,105.47
EV/EBIT Low,53.62,67.67,67.17,66.64
Last Price,119.74,139.51,176.87,100.27
High Price,136.32,165.49,178.22,177.15
Low Price,100.05,105.00,124.65,85.76
Enterprise Value,37945,55490,66373,49890
Enterprise Value Average,37777,55767,59231,57584
Enterprise Value High,41408,62772,66757,72272
Enterprise Value Low,33831,45817,51521,45665
