,2019,2020,2021,2022
Market Capitalization,9724,6531,10715,8219
- Cash & Cash Equivalents,127,798,162,86
+ Preferred Equity and Hybrid Capital,160,160,160,160
+ Minority/Non Controlling Interest,241,222,296,258
+ Total Debt,3502,4436,4192,4475
Enterprise Value,13500,10551,15202,13026
Total Capital,3112,3831,3582,3860
Total Debt/Capital (%),112.52,115.80,117.02,115.94
Total Debt / EV,0.26,0.42,0.28,0.34
EV/Sales,14.43,12.63,15.98,12.12
EV/EBITDA,22.72,20.95,26.00,19.59
EV/EBIT,38.08,42.44,49.88,35.93
EV/Cash Flow to Firm,23.62,20.84,25.38,19.93
EV/Free Cash Flow to Firm,13.75,10.47,14.62,12.17
Diluted Market Cap,9625,6428,10547,8135
Diluted Enterprise Value,13400,10448,15033,12942
EV per Share,178.71,137.51,193.40,160.14
TTM Sales,936,835,951,1074
TTM EBITDA,594,504,585,665
TTM Operating Income,355,249,305,363
TTM Cash Flow to Firm,572,506,599,654
TTM Free Cash Flow to Firm,981,1008,1040,1070
