,2019,2020,2021,2022
Price/Earnings,27.83,51.98,41.59,21.38
Price/Earnings Average,28.56,54.53,34.80,23.16
Price/Earnings High,30.56,80.34,42.23,29.73
Price/Earnings Low,24.88,39.15,24.97,18.28
Price/Book Value,-12.30,-6.61,-10.05,-7.95
Price/Book Value Average,-12.63,-6.94,-8.41,-8.62
Price/Book Value High,-13.51,-10.22,-10.20,-11.06
Price/Book Value Low,-11.00,-4.98,-6.03,-6.80
Price/Tangible Book Value,3.72,2.59,3.94,2.69
Price/Tangible Book Value Average,3.81,2.71,3.30,2.92
Price/Tangible Book Value High,4.08,4.00,4.00,3.74
Price/Tangible Book Value Low,3.32,1.95,2.37,2.30
Price/Sales,10.29,7.69,11.08,7.51
Price/Sales Average,10.55,8.07,9.27,8.14
Price/Sales High,11.29,11.89,11.25,10.44
Price/Sales Low,9.20,5.79,6.65,6.42
Price/Cash Flow,20.84,17.38,22.37,15.61
Price/Cash Flow Average,21.38,18.23,18.71,16.92
Price/Cash Flow High,22.88,26.86,22.71,21.71
Price/Cash Flow Low,18.63,13.09,13.43,13.36
Price/Free Cash Flow,11.04,7.37,11.57,8.71
Price/Free Cash Flow Average,11.33,7.73,9.68,9.44
Price/Free Cash Flow High,12.12,11.39,11.74,12.12
Price/Free Cash Flow Low,9.87,5.55,6.94,7.45
EV/Sales,14.43,12.63,15.98,12.12
EV/Sales Average,14.70,13.01,14.14,12.76
EV/Sales High,15.44,16.89,16.15,15.11
EV/Sales Low,13.33,10.70,11.48,11.02
EV/EBITDA,22.72,20.95,26.00,19.59
EV/EBITDA Average,23.14,21.59,23.00,20.62
EV/EBITDA High,24.32,28.02,26.28,24.42
EV/EBITDA Low,20.98,17.75,18.67,17.80
EV/EBIT,38.08,42.44,49.88,35.93
EV/EBIT Average,38.80,43.73,44.13,37.82
EV/EBIT High,40.77,56.77,50.41,44.79
EV/EBIT Low,35.17,35.95,35.83,32.65
Last Price,128.73,85.12,136.32,101.04
High Price,141.35,131.56,138.40,140.51
Low Price,115.09,64.11,81.85,86.43
Enterprise Value,13500,10551,15202,13026
Enterprise Value Average,13754,10872,13450,13712
Enterprise Value High,14453,14114,15365,16237
Enterprise Value Low,12469,8939,10920,11838
