,2019,2020,2021,2022
Cash Ratio,1.07,0.65,1.52,1.51
Current Ratio,1.07,0.65,1.52,1.51
Quick Ratio,1.07,0.65,1.52,1.51
CFO/Avg Current Liab,0,5.25,5.80,6.25
Common Equity/Total Assets,-5.70,-7.59,-3.07,-0.53
Long-Term Debt/Equity (%),20.95,29.67,79.33,67.58
Long-Term Debt/Capital (%),35.65,46.63,67.16,61.23
Long-Term Debt/Total Assets (%),16.74,21.54,43.01,39.14
Total Debt/Equity (%),20.95,29.67,79.33,67.58
Total Debt/Capital (%),35.65,46.63,67.16,61.23
Total Debt/Total Assets (%),16.74,21.54,43.01,39.14
CFO/Total Liabilities,90.46,63.06,31.96,42.21
CFO/CapEx,11.04,12.02,9.41,6.78
Altman's Z-Score,10.36,7.99,5.44,4.65
