,2019,2020,2021,2022
Price/Earnings,28.33,35.04,37.07,11.82
Price/Earnings Average,30.34,31.89,28.80,13.98
Price/Earnings High,35.48,36.53,37.35,17.79
Price/Earnings Low,25.79,23.57,21.00,11.42
Price/Book Value,-57.31,-44.93,-123.10,-529.73
Price/Book Value Average,-61.39,-40.90,-95.64,-626.35
Price/Book Value High,-71.79,-46.84,-124.02,-797.38
Price/Book Value Low,-52.18,-30.23,-69.74,-511.84
Price/Tangible Book Value,7.72,8.80,13.07,8.79
Price/Tangible Book Value Average,8.27,8.01,10.15,10.40
Price/Tangible Book Value High,9.68,9.18,13.16,13.24
Price/Tangible Book Value Low,7.03,5.92,7.40,8.50
Price/Sales,13.04,13.82,19.17,11.74
Price/Sales Average,13.97,12.58,14.90,13.88
Price/Sales High,16.33,14.41,19.32,17.67
Price/Sales Low,11.87,9.30,10.86,11.35
Price/Cash Flow,17.95,19.72,25.75,15.75
Price/Cash Flow Average,19.23,17.96,20.01,18.63
Price/Cash Flow High,22.49,20.56,25.94,23.71
Price/Cash Flow Low,16.34,13.27,14.59,15.22
Price/Free Cash Flow,16.48,18.22,23.37,13.81
Price/Free Cash Flow Average,17.66,16.59,18.16,16.33
Price/Free Cash Flow High,20.65,19.00,23.55,20.79
Price/Free Cash Flow Low,15.01,12.26,13.24,13.34
EV/Sales,15.01,15.92,22.40,14.26
EV/Sales Average,15.93,14.68,18.12,16.40
EV/Sales High,18.30,16.51,22.55,20.20
EV/Sales Low,13.84,11.40,14.08,13.87
EV/EBITDA,21.60,23.63,31.97,19.79
EV/EBITDA Average,22.93,21.79,25.85,22.76
EV/EBITDA High,26.34,24.50,32.17,28.02
EV/EBITDA Low,19.91,16.91,20.09,19.24
EV/EBIT,29.16,32.89,45.54,28.05
EV/EBIT Average,30.96,30.33,36.83,32.26
EV/EBIT High,35.56,34.11,45.83,39.72
EV/EBIT Low,26.89,23.54,28.62,27.27
Last Price,212.96,230.93,374.56,280.19
High Price,266.76,240.75,377.36,421.76
Low Price,193.89,155.37,212.22,270.73
Enterprise Value,42719,46414,76527,59647
Enterprise Value Average,45363,42798,61895,68605
Enterprise Value High,52102,48129,77018,84459
Enterprise Value Low,39393,33223,48096,57989
