,2019,2020,2021,2022
Market Capitalization,37144,40316,65598,49108
- Cash & Cash Equivalents,410,258,735,775
+ Preferred Equity and Hybrid Capital,4065,3793,4100,4350
+ Minority/Non Controlling Interest,17,18,88,93
+ Total Debt,1902,2545,7475,6871
Enterprise Value,42719,46414,76527,59647
Total Capital,5336,5458,11131,11222
Total Debt/Capital (%),35.65,46.63,67.16,61.23
Total Debt / EV,0.04,0.05,0.10,0.12
EV/Sales,15.01,15.92,22.40,14.26
EV/EBITDA,21.60,23.63,31.97,19.79
EV/EBIT,29.16,32.89,45.54,28.05
EV/Cash Flow to Firm,20.21,22.11,29.05,18.33
EV/Free Cash Flow to Firm,18.57,20.45,26.35,16.06
Diluted Market Cap,37168,40330,65761,49392
Diluted Enterprise Value,42742,46428,76690,59931
EV per Share,244.92,265.86,436.96,340.32
TTM Sales,2847,2915,3416,4182
TTM EBITDA,1978,1964,2394,3015
TTM Operating Income,1465,1411,1681,2126
TTM Cash Flow to Firm,2113,2099,2634,3253
TTM Free Cash Flow to Firm,2301,2269,2905,3713
