,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,20427,21807,20838,23878,35001,33453,42228,39989,43365,25711
- Cash & Cash Equivalents,2733,2925,2213,2801,3394,1832,3335,3730,2951,1718
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,23,36,19,-10,-8,22,30,37,44,62
+ Total Debt,9166,9305,6520,2782,3512,3477,5961,6804,18310,17213
Enterprise Value,26883,28223,20016,23849,35111,35120,44884,43100,58768,41268
Total Capital,21724,23251,16905,17655,18670,19808,22392,23852,36102,32008
Total Debt/Capital (%),42.19,40.02,38.57,15.76,18.81,17.55,26.62,28.53,50.72,53.78
Total Debt / EV,0.34,0.33,0.33,0.12,0.10,0.10,0.13,0.16,0.31,0.42
EV/Sales,1.76,1.69,2.01,2.35,3.32,3.16,3.95,3.69,4.60,2.73
EV/EBITDA,7.70,7.60,16.57,15.65,17.39,14.73,26.96,17.67,22.60,18.16
EV/EBIT,10.08,10.43,44.58,32.94,27.91,21.96,51.24,26.67,34.37,47.49
EV/Cash Flow to Firm,8.15,8.47,11.34,14.11,18.60,16.42,20.22,21.73,24.59,25.51
EV/Free Cash Flow to Firm,6.71,6.63,7.48,9.90,14.02,12.55,15.39,16.01,18.76,17.97
Diluted Market Cap,20651,21993,20889,24431,35875,35605,43300,40946,43917,25689
Diluted Enterprise Value,27107,28409,25215,24402,35985,37272,45956,44057,59320,41246
EV per Share,49.50,52.04,36.55,44.29,64.84,68.46,88.68,85.36,117.16,81.81
TTM Sales,15259,16671,9968,10163,10561,11127,11362,11673,12784,15113
TTM EBITDA,3491,3712,1208,1524,2019,2384,1665,2439,2600,2272
TTM Operating Income,2668,2707,449,724,1258,1599,876,1616,1710,869
TTM Cash Flow to Firm,3299,3331,1765,1690,1888,2139,2220,1983,2390,1617
TTM Free Cash Flow to Firm,4005,4256,2676,2409,2504,2798,2916,2692,3133,2296
