,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,9777,7777,8096,6304,6174
+ Sales & Services Revenue,9777,7777,8096,6304,6174
- Cost of Revenue,4693,2274,3347,2382,2294
+ Cost of Goods & Services,4693,2274,3347,2382,2294
Gross Profit,5084,5503,4749,3922,3880
+ Other Operating Income,0,0,0,0,0
- Operating Expenses,2378,1663,1970,2111,2175
"+ Selling, General & Admin",2013,1443,1666,1668,1704
+ Research & Development,365,220,304,443,471
+ Other Operating Expense,0,0,0,0,0
Operating Income (Loss),2706,3840,2779,1811,1705
- Non-Operating (Income) Loss,-23,144,99,282,583
"+ Interest Expense, Net",0,0,0,258,422
+ Interest Expense,0,0,0,258,422
- Interest Income,0,0,0,0,0
+ Other Non-Op (Income) Loss,-23,144,99,24,161
Pretax Income,2729,3696,2680,1529,1122
- Income Tax Expense (Benefit),576,390,520,178,205
- (Income) Loss from Affiliates,0,0,0,0,0
Income (Loss) from Cont Ops,2153,3306,2160,1351,917
- Net Extraordinary Losses (Gains),0,88,0,0,0
+ Discontinued Operations,0,-88,-96,0,0
+ Extraord. & Accounting Changes,0,176,96,0,0
Income (Loss) Incl. MI,2153,3218,2160,1351,917
- Minority Interest,0,0,0,0,0
"Net Income, GAAP",2153,3218,2160,1351,917
- Preferred Dividends,0,0,0,0,0
- Other Adjustments,0,0,0,0,0
"Net Income Avail to Common, GAAP",2153,3218,2160,1351,917
Basic Weighted Avg Shares,253,253,253,254,254
"Basic EPS, GAAP",8.51,12.71,8.53,5.33,3.61
Basic EPS from Cont Ops,8.51,13.06,8.53,5.33,3.61
Diluted Weighted Avg Shares,253,253,253,254,255
"Diluted EPS, GAAP",8.51,12.71,8.53,5.31,3.59
Diluted EPS from Cont Ops,8.51,13.06,8.53,5.31,3.59
EBITDA,4379,4173,2936,2006,1917
EBITDA Margin (%),44.79,53.66,36.26,31.82,31.05
EBITA,2706,3840,2779,1811,1705
EBIT,2706,3840,2779,1811,1705
Gross Margin (%),52.00,70.76,58.66,62.21,62.84
Operating Margin (%),27.68,49.38,34.33,28.73,27.62
Profit Margin (%),22.02,41.38,26.68,21.43,14.85
Sales per Employee,0,0,813668,677849,617400
Dividend per Share,0,0,0,0.57,1.14
Depreciation Expense,1673,333,157,195,212
