,2018,2019,2020,2021,2022
+ Net Income,2153,3306,2160,1351,917
+ Depreciation & Amortization,1673,333,157,195,212
+ Non-Cash Items,35,53,164,-88,181
+ Stock-Based Compensation,56,41,54,59,75
+ Deferred Income Taxes,37,12,6,-288,-18
+ Asset Impairment Charge,0,0,0,7,9
+ Other Non-Cash Adj,-58,0,104,134,115
+ Chg in Non-Cash Work Cap,-174,-672,-197,702,-452
+ (Inc) Dec in Accts Receiv,250,200,159,-277,-123
+ (Inc) Dec in Inventories,44,-91,-29,-138,-220
+ (Inc) Dec in Prepaid Assets,0,0,0,0,0
+ Inc (Dec) in Accts Payable,-316,-711,-209,873,-58
+ Inc (Dec) in Other,-152,-70,-118,244,-51
+ Net Cash From Disc Ops,0,-253,-97,298,0
Cash from Operating Activities,3687,2767,2187,2458,858
+ Change in Fixed & Intang,0,0,0,0,0
+ Disp in Fixed & Intang,32,4,20,7,7
+ Disp of Fixed Prod Assets,32,4,20,7,7
+ Disp of Intangible Assets,0,0,0,0,0
+ Acq of Fixed & Intang,-101,-92,-255,-784,-658
+ Acq of Fixed Prod Assets,-101,-92,-255,-488,-427
+ Acq of Intangible Assets,0,0,0,-296,-231
+ Net Change in LT Investment,0,0,0,0,0
+ Dec in LT Investment,0,0,0,0,0
+ Inc in LT Investment,0,0,0,0,0
+ Net Cash From Acq & Div,0,0,0,0,0
+ Cash from Divestitures,0,0,0,0,0
+ Cash for Acq of Subs,0,0,0,0,0
+ Cash for JVs,0,0,0,0,0
+ Other Investing Activities,0,-14,-23,296,231
+ Net Cash From Disc Ops,0,-14,-8,0,0
Cash from Investing Activities,-69,-102,-258,-481,-420
+ Dividends Paid,0,0,0,-145,-290
+ Net Cash From Debt,59,0,1165,7846,-108
+ Cash From Debt,59,0,1244,9470,0
+ Repayments of Debt,0,0,-79,-1624,-108
+ Cash (Repurchase) of Equity,0,0,0,0,0
+ Increase in Capital Stock,0,0,0,0,0
+ Decrease in Capital Stock,0,0,0,0,0
+ Other Financing Activities,-4223,-2621,-3340,-9034,-35
+ Net Cash From Disc Ops,0,0,0,0,0
Cash from Financing Activities,-4164,-2621,-2175,-1333,-433
Effect of Foreign Exchange Rates,19,31,-3,23,-36
Net Changes in Cash,-546,44,-246,644,5
EBITDA,4379,4173,2936,2006,1917
EBITDA Margin (%),44.79,53.66,36.26,31.82,31.05
Net Cash Paid for Acquisitions,0,0,0,0,0
Free Cash Flow,3586,2675,1932,1674,200
Free Cash Flow to Firm,3586,2675,1932,1902,545
Free Cash Flow to Equity,0,2679,3117,9823,330
Free Cash Flow per Basic Share,14.17,10.57,7.63,6.60,0.79
Price/Free Cash Flow,0,0,0,0,4.70
Cash Flow to Net Income,1.71,0.86,1.01,1.82,0.94
