,2018,2019,2020,2021,2022
Total Current Assets,0,3955,3434,3760,3931
"+ Cash, Cash Equivalents & STI",0,319,500,737,706
+ Cash & Cash Equivalents,0,319,500,737,706
+ ST Investments,0,0,0,0,0
+ Accounts & Notes Receiv,0,1487,1092,1382,1475
"+ Accounts Receivable, Net",0,1474,1092,1382,1475
"+ Notes Receivable, Net",0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0
"+ Other Receivable, Net",0,13,0,0,0
+ Inventories,0,1071,913,915,1003
+ Raw Materials,0,0,0,0,0
+ Work In Process,0,0,0,0,0
+ Finished Goods,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0
+ Other Inventory,0,1071,913,915,1003
+ Other ST Assets,0,1078,929,726,747
+ Prepaid Expenses,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0
Total Noncurrent Assets,0,6593,7000,6921,7024
"+ Property, Plant & Equip, Net",0,680,984,973,1018
"+ Property, Plant & Equip",0,1356,1804,1855,1920
- Accumulated Depreciation,0,676,820,882,902
+ LT Investments & Receivables,0,0,0,0,0
+ LT Investments,0,0,0,0,0
+ LT Receivables,0,0,0,0,0
+ Other LT Assets,0,5913,6016,5948,6006
+ Total Intangible Assets,0,5172,5106,5254,5252
+ Goodwill,0,4603,4603,4603,4603
+ Other Intangible Assets,0,569,503,651,649
+ LT Deferred Tax Assets,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0
+ Misc LT Assets,0,741,910,694,754
Total Assets,0,10548,10434,10681,10955
+ Payables & Accruals,0,1307,1201,2588,2504
+ Accounts Payable,0,258,259,1382,1132
+ Accrued Taxes,0,242,109,185,184
+ Interest & Dividends Payable,0,0,0,0,0
+ Other Payables & Accruals,0,807,833,1021,1188
+ ST Debt,0,34,1339,9,8
+ ST Borrowings,0,34,1339,9,8
+ ST Finance Leases,0,0,0,0,0
+ Other ST Liabilities,0,0,-1339,0,0
+ Deferred Revenue,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0
+ Misc ST Liabilities,0,0,-1339,0,0
Total Current Liabilities,0,1341,1201,2597,2512
+ LT Debt,0,70,0,9125,8905
+ LT Borrowings,0,70,0,9125,8905
+ LT Finance Leases,0,0,0,0,0
+ Other LT Liabilities,0,2102,10053,467,430
+ Accrued Liabilities,0,139,121,4,19
+ Pension Liabilities,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0
+ Misc LT Liabilities,0,1963,9932,463,411
Total Noncurrent Liabilities,0,2172,10053,9592,9335
Total Liabilities,0,3513,11254,12189,11847
+ Preferred Equity and Hybrid Capital,0,0,0,0,0
+ Share Capital & APIC,0,0,3,3,3
+ Common Stock,0,0,3,3,3
+ Additional Paid in Capital,0,0,0,0,0
- Treasury Stock,0,0,0,0,0
+ Retained Earnings,0,0,-219,-998,-331
+ Other Equity,0,-914,-604,-513,-564
Equity Before Minority Interest,0,7035,-820,-1508,-892
+ Minority/Non Controlling Interest,0,0,0,0,0
Total Equity,0,7035,-820,-1508,-892
Total Liabilities & Equity,0,10548,10434,10681,10955
Shares Outstanding,253,253,254,254,254
Capital Leases - Total,0,0,0,0,0
Net Debt,0,-215,839,8397,8207
Net Debt to Equity,0,-3.06,-102.32,-556.83,-920.07
Tangible Common Equity Ratio,0,35,-111,-125,-108
Current Ratio,0,2.95,2.86,1.45,1.56
Cash Conversion Cycle,0,106.47,136.44,86.05,44.43
Number of Employees,0,0,9950,9300,10000
