,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,1.10,1.39,0.91,0.75,0.82,0.62,0.49,0.57,0.69,0.52
Current Ratio,2.14,2.33,1.84,1.59,1.56,1.33,1.21,1.29,1.38,1.16
Quick Ratio,1.83,2.03,1.54,1.25,1.34,1.11,0.95,1.01,1.15,0.94
CFO/Avg Current Liab,0.22,0.39,0.38,0.41,0.20,0.26,0.28,0.26,0.42,0.40
Common Equity/Total Assets,0.04,1.47,0.62,1.01,-4.41,-13.20,-12.56,-22.68,-17.32,-13.28
Long-Term Debt/Equity (%),0,0,0,3.13,2.49,14.19,9.74,27.76,37.19,40.72
Long-Term Debt/Capital (%),0,0,0,48.17,673.17,148.85,155.18,-10126.09,233.10,140.49
Long-Term Debt/Total Assets (%),0,0,0,2.38,1.90,9.12,6.39,16.33,20.28,21.62
Total Debt/Equity (%),0,0,0,3.15,3.42,18.60,14.09,28.67,37.49,43.92
Total Debt/Capital (%),0,0,0,48.56,924.39,195.00,224.57,-10456.52,235.02,151.55
Total Debt/Total Assets (%),0,0,0,2.40,2.60,11.94,9.25,16.86,20.45,23.32
CFO/Total Liabilities,17.00,27.82,28.10,25.86,14.28,12.94,17.19,13.28,16.22,16.76
CFO/CapEx,1.51,2.39,2.70,3.72,1.93,2.08,1.62,1.78,3.17,2.71
Altman's Z-Score,2.95,3.17,2.93,2.25,2.59,2.03,2.12,1.48,2.06,1.85
