,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,8.21,4.04,2.72,5.18,0.66,0.58,0.43,0.77,0.71,0.60
Current Ratio,9.59,5.38,3.66,6.35,1.47,1.50,1.32,1.84,1.94,2.02
Quick Ratio,8.78,4.60,3.14,5.79,1.09,1.04,0.85,1.31,1.24,1.34
CFO/Avg Current Liab,1.67,1.36,1.00,1.35,0.94,1.63,1.55,1.40,1.32,1.72
Common Equity/Total Assets,64.37,62.44,63.57,60.69,23.52,28.19,32.54,33.99,14.53,17.51
Long-Term Debt/Equity (%),18.40,18.34,9.83,33.53,74.31,57.02,44.34,42.88,16.46,17.96
Long-Term Debt/Capital (%),17.51,16.93,9.30,26.37,58.88,51.79,41.70,41.22,43.50,42.50
Long-Term Debt/Total Assets (%),13.67,12.72,7.06,21.73,35.72,30.64,24.27,23.97,11.95,13.02
Total Debt/Equity (%),18.40,18.34,17.22,33.53,77.26,57.63,46.90,43.22,17.82,18.11
Total Debt/Capital (%),17.51,16.93,16.29,26.37,61.22,52.35,44.10,41.54,47.10,42.85
Total Debt/Total Assets (%),13.67,12.72,12.37,21.73,37.14,30.97,25.67,24.15,12.94,13.13
CFO/Total Liabilities,55.56,41.47,45.64,45.67,10.13,25.81,23.27,21.21,19.09,32.34
CFO/CapEx,7.41,4.90,5.90,10.05,5.45,9.58,8.18,12.12,7.96,6.40
Altman's Z-Score,8.31,7.50,8.95,7.43,6.43,8.22,6.98,6.79,6.46,7.05
