,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Current Assets,0,537,1500,1509,1462,1844,1685,1691,2484,2450,2030
"+ Cash, Cash Equivalents & STI",0,244,545,613,545,926,711,715,1398,973,809
+ Cash & Cash Equivalents,0,172,300,426,545,926,711,715,1398,973,809
+ ST Investments,0,72,245,187,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,0,151,354,364,358,346,378,367,457,569,305
"+ Accounts Receivable, Net",0,137,354,316,358,346,378,367,457,569,305
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,13,0,47,0,0,0,0,0,0,0
+ Inventories,0,126,347,428,430,472,512,517,508,756,797
+ Raw Materials,0,33,72,90,92,110,119,113,135,236,264
+ Work In Process,0,52,137,229,198,221,272,291,283,357,346
+ Finished Goods,0,41,138,109,140,141,121,113,90,162,187
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,0,17,255,105,128,100,84,91,121,153,120
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,0,383,5392,5088,5061,4538,4123,4870,4738,5059,4662
"+ Property, Plant & Equip, Net",0,196,883,1047,1392,1374,1367,1259,1266,1254,1150
"+ Property, Plant & Equip",0,749,1493,1799,2373,2286,2585,2675,2828,2988,3050
- Accumulated Depreciation,0,553,610,752,981,912,1219,1415,1562,1735,1900
+ LT Investments & Receivables,0,4,4,26,35,64,98,23,35,31,20
+ LT Investments,0,4,4,26,35,64,98,23,35,31,20
+ LT Receivables,0,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,0,183,4505,4015,3633,3100,2659,3588,3436,3775,3492
+ Total Intangible Assets,0,159,4448,3948,3574,3034,2582,3423,3254,3450,3299
+ Goodwill,0,104,2141,2136,2174,2174,2174,2614,2643,2776,2761
+ Other Intangible Assets,0,55,2307,1813,1401,860,408,809,611,675,538
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,0,24,57,66,59,66,77,165,182,324,193
Total Assets,0,920,6892,6597,6522,6382,5808,6561,7221,7509,6692
+ Payables & Accruals,0,132,314,343,387,380,394,465,569,568,433
+ Accounts Payable,0,80,182,205,216,213,233,247,314,328,211
+ Accrued Taxes,0,0,0,0,0,0,0,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,0,52,132,138,171,167,161,218,255,240,222
+ ST Debt,0,87,0,0,0,0,0,7,5,0,0
+ ST Borrowings,0,87,0,0,0,0,0,7,5,0,0
+ ST Finance Leases,0,0,0,0,0,0,0,0,0,0,0
+ Other ST Liabilities,0,1,11,31,32,61,42,67,108,107,123
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,0,1,11,31,32,61,42,67,108,107,123
Total Current Liabilities,0,220,325,374,419,441,436,539,682,675,556
+ LT Debt,0,0,0,988,989,983,919,1567,1743,2047,2048
+ LT Borrowings,0,0,0,988,989,983,919,1567,1743,2047,2048
+ LT Finance Leases,0,0,0,0,0,0,0,0,0,0,0
+ Other LT Liabilities,0,24,394,235,218,181,93,162,168,234,185
+ Accrued Liabilities,0,1,310,152,132,63,0,0,0,0,0
