,2019,2020,2021,2022
Sales/Revenue/Turnover,5469,1620,2890,4907
+ Sales & Services Revenue,5469,1620,2890,4907
- Cost of Revenue,2358,1094,1300,1980
+ Cost of Goods & Services,2358,1094,1300,1980
Gross Profit,3111,526,1590,2927
+ Other Operating Income,0,0,0,0
- Operating Expenses,2317,1479,1848,2169
"+ Selling, General & Admin",346,128,196,324
+ Research & Development,0,0,0,0
+ Other Operating Expense,1971,1351,1652,1845
Operating Income (Loss),794,-953,-258,758
- Non-Operating (Income) Loss,-168,8,-156,89
"+ Interest Expense, Net",190,186,189,126
+ Interest Expense,222,194,191,156
- Interest Income,32,8,2,30
+ Other Non-Op (Income) Loss,-358,-178,-345,-37
Pretax Income,962,-961,-102,669
- Income Tax Expense (Benefit),30,-220,-91,26
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,932,-741,-11,643
- Net Extraordinary Losses (Gains),24,-18,0,20
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,24,-18,0,20
Income (Loss) Incl. MI,908,-723,-11,623
- Minority Interest,-12,9,0,-10
"Net Income, GAAP",920,-732,-11,633
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",920,-732,-11,633
Basic Weighted Avg Shares,730,706,710,715
"Basic EPS, GAAP",1.26,-1.04,-0.02,0.89
Basic EPS from Cont Ops,1.28,-1.05,-0.02,0.90
Diluted Weighted Avg Shares,731,706,710,718
"Diluted EPS, GAAP",1.26,-1.04,-0.02,0.88
Diluted EPS from Cont Ops,1.27,-1.05,-0.02,0.90
EBITDA,1470,-288,504,1422
EBITDA Margin (%),26.88,-17.78,17.44,28.98
EBITA,794,-953,-258,758
EBIT,794,-953,-258,758
Gross Margin (%),56.88,32.47,55.02,59.65
Operating Margin (%),14.52,-58.83,-8.93,15.45
Profit Margin (%),16.82,-45.19,-0.38,12.90
Sales per Employee,31251429,9938650,18062500,29739394
Dividend per Share,0.85,0.45,0,0.21
Depreciation Expense,676,665,762,664
