,2019,2020,2021,2022
+ Net Income,932,-741,-11,643
+ Depreciation & Amortization,676,665,762,664
+ Non-Cash Items,-262,-272,-358,60
+ Stock-Based Compensation,15,17,18,26
+ Deferred Income Taxes,7,-165,-93,20
+ Asset Impairment Charge,0,0,0,0
+ Other Non-Cash Adj,-284,-124,-283,14
+ Chg in Non-Cash Work Cap,-96,41,-101,49
+ (Inc) Dec in Accts Receiv,3,0,0,0
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,0,0,0
+ Inc (Dec) in Accts Payable,0,0,0,0
+ Inc (Dec) in Other,-99,41,-101,49
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,1250,-307,292,1416
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-558,-499,-427,-504
+ Acq of Fixed Prod Assets,-558,-499,-427,-504
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,0,0,0,0
+ Dec in LT Investment,0,0,0,0
+ Inc in LT Investment,0,0,0,0
+ Net Cash From Acq & Div,-607,-5,-1458,-301
+ Cash from Divestitures,1,0,0,0
+ Cash for Acq of Subs,-608,-5,-1458,-301
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,1223,309,727,187
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,58,-195,-1158,-618
+ Dividends Paid,-623,-320,0,-150
+ Net Cash From Debt,-61,1773,-757,-685
+ Cash From Debt,645,2985,443,0
+ Repayments of Debt,-706,-1212,-1200,-685
+ Cash (Repurchase) of Equity,-482,-147,138,-26
+ Increase in Capital Stock,0,0,138,1
+ Decrease in Capital Stock,-482,-147,0,-27
+ Other Financing Activities,-149,-75,-38,-13
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-1315,1231,-657,-874
Effect of Foreign Exchange Rates,1,-3,0,-3
Net Changes in Cash,-7,729,-1523,-76
EBITDA,1470,-288,504,1422
EBITDA Margin (%),26.88,-17.78,17.44,28.98
Net Cash Paid for Acquisitions,607,5,1458,301
Free Cash Flow,692,-806,-135,912
Free Cash Flow to Firm,907,0,0,1062
Free Cash Flow to Equity,0,967,-892,227
Free Cash Flow per Basic Share,0.95,-1.14,-0.19,1.28
Price/Free Cash Flow,7.50,0,0,6.00
Cash Flow to Net Income,1.36,0.42,-26.55,2.24
