,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,6022,7409,8308,17902,20373,22497,29508,33942,53865,38048
- Cash & Cash Equivalents,778,867,977,1198,959,891,837,1814,1366,1216
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,229,227,249,240,260,279,0,0
+ Total Debt,2046,2293,2468,7200,10225,11007,12041,12904,12438,13011
Enterprise Value,7290,8835,10027,24091,29842,32806,40910,45223,64826,49750
Total Capital,1379,1648,2243,17630,21911,22955,24348,25555,25458,27243
Total Debt/Capital (%),148.38,139.12,110.00,40.84,46.67,47.95,49.45,50.50,48.86,47.76
Total Debt / EV,0.28,0.26,0.25,0.30,0.34,0.34,0.29,0.29,0.19,0.26
EV/Sales,1.43,1.62,1.75,3.50,3.06,3.15,3.69,3.98,4.67,3.45
EV/EBITDA,12.49,12.26,12.42,21.57,16.28,16.82,19.92,21.85,24.22,16.82
EV/EBIT,15.30,14.74,14.75,29.10,36.30,40.55,48.02,57.76,45.88,27.23
EV/Cash Flow to Firm,15.06,17.59,18.32,26.76,12.71,20.59,23.83,19.71,19.87,19.16
EV/Free Cash Flow to Firm,12.64,15.10,16.02,22.64,10.98,15.98,17.80,15.54,16.61,15.21
Diluted Market Cap,5939,7825,8743,11560,21793,23716,30629,34616,55109,39052
Diluted Enterprise Value,7207,9251,10462,17789,31308,34072,42093,45985,66181,50847
EV per Share,56.23,71.18,83.99,102.34,143.40,166.11,212.74,236.52,340.12,267.91
TTM Sales,5100,5460,5738,6878,9739,10412,11088,11359,13874,14410
TTM EBITDA,584,720,808,1117,1833,1950,2054,2070,2677,2957
TTM Operating Income,476,599,680,828,822,809,852,783,1413,1827
TTM Cash Flow to Firm,484,502,547,900,2348,1594,1717,2295,3263,2597
TTM Free Cash Flow to Firm,577,585,626,1064,2717,2053,2299,2911,3903,3271
