,2019,2020,2021,2022
Cash Ratio,0.03,0.00,0.00,0.00
Current Ratio,0.80,1.22,1.12,0.20
Quick Ratio,0.50,0.45,0.07,0.13
CFO/Avg Current Liab,0,1.80,1.78,2.00
Common Equity/Total Assets,-25.52,-27.84,-32.31,-31.24
Long-Term Debt/Equity (%),111.30,125.69,117.42,114.95
Long-Term Debt/Capital (%),127.13,142.37,149.53,164.97
Long-Term Debt/Total Assets (%),50.91,53.67,52.02,51.43
Total Debt/Equity (%),118.48,130.99,122.65,121.60
Total Debt/Capital (%),135.33,148.37,156.19,174.50
Total Debt/Total Assets (%),54.20,55.93,54.34,54.40
CFO/Total Liabilities,12.06,10.94,11.06,13.44
CFO/CapEx,3.42,3.47,3.99,3.47
Altman's Z-Score,1.41,-0.21,-0.29,0.99
