,2019,2020,2021,2022
Market Capitalization,13757,0,0,12742
- Cash & Cash Equivalents,8,1,1,1
+ Preferred Equity and Hybrid Capital,46,45,45,45
+ Minority/Non Controlling Interest,1049,881,1331,840
+ Total Debt,5223,5390,5855,6005
Enterprise Value,20067,6314,7229,19630
Total Capital,3859,3633,3749,3441
Total Debt/Capital (%),135.33,148.37,156.19,174.50
Total Debt / EV,0.26,0.85,0.81,0.31
EV/Sales,17.42,5.09,5.60,12.94
EV/EBITDA,27.71,8.41,9.57,21.46
EV/EBIT,92.80,47.85,53.29,83.51
EV/Cash Flow to Firm,26.08,8.46,8.96,19.98
EV/Free Cash Flow to Firm,21.04,6.86,7.43,16.11
Diluted Market Cap,13357,0,0,12498
Diluted Enterprise Value,19667,6314,7229,19386
EV per Share,68.12,21.29,22.72,59.67
TTM Sales,1152,1241,1291,1517
TTM EBITDA,724,751,755,915
TTM Operating Income,216,132,136,235
TTM Cash Flow to Firm,769,746,807,982
TTM Free Cash Flow to Firm,954,920,973,1218
