,2014,2015,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,5772,5063,5086,7043,10170,10194,11094,12297,13737,14396
+ Sales & Services Revenue,5772,5063,5086,7043,10170,10194,11094,12297,13737,14396
- Cost of Revenue,5006,4392,4468,6191,8923,8690,9546,10560,11723,12312
+ Cost of Goods & Services,5006,4392,4468,6191,8923,8690,9546,10560,11723,12312
Gross Profit,766,671,618,852,1247,1504,1548,1737,2014,2084
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,442,310,232,334,552,729,689,770,860,950
"+ Selling, General & Admin",442,310,232,334,552,729,689,770,860,950
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),324,361,386,518,695,775,859,967,1154,1134
- Non-Operating (Income) Loss,236,644,58,200,302,165,-7,186,187,248
"+ Interest Expense, Net",68,74,54,86,140,131,119,176,183,199
+ Interest Expense,83,75,54,96,148,138,133,179,184,199
- Interest Income,15,1,0,10,8,7,14,3,1,0
+ Other Non-Op (Income) Loss,168,570,4,114,162,34,-126,10,4,49
Pretax Income,88,-283,328,318,393,610,866,781,967,886
- Income Tax Expense (Benefit),4,47,92,72,29,28,196,152,208,193
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,84,-330,236,246,364,582,670,629,759,693
- Net Extraordinary Losses (Gains),-80,-7,-18,4,-4,2,6,2,12,16
+ Discontinued Operations,80,7,18,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,-160,-14,-36,4,-4,2,6,2,12,16
Income (Loss) Incl. MI,164,-323,254,242,368,580,664,627,747,677
- Minority Interest,0,0,0,-2,2,-1,-3,-1,-6,-8
"Net Income, GAAP",164,-323,254,244,366,581,667,628,753,685
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",164,-323,254,244,366,581,667,628,753,685
Basic Weighted Avg Shares,83,74,73,102,152,151,143,142,141,137
"Basic EPS, GAAP",1.98,-4.36,3.48,2.39,2.41,3.85,4.66,4.42,5.34,5.00
Basic EPS from Cont Ops,1.01,-4.46,3.23,2.41,2.39,3.85,4.69,4.43,5.38,5.06
Diluted Weighted Avg Shares,83,74,74,104,154,153,145,144,143,138
"Diluted EPS, GAAP",1.98,-4.36,3.43,2.35,2.38,3.80,4.60,4.36,5.27,4.96
Diluted EPS from Cont Ops,1.01,-4.46,3.19,2.37,2.36,3.80,4.62,4.37,5.31,5.02
EBITDA,405,423,430,640,1031,1032,1093,1249,1479,1467
EBITDA Margin (%),7.02,8.35,8.45,9.09,10.14,10.12,9.85,10.16,10.77,10.19
EBITA,324,361,386,518,695,775,859,967,1154,1134
EBIT,324,361,386,518,695,775,859,967,1154,1134
Gross Margin (%),13.27,13.25,12.15,12.10,12.26,14.75,13.95,14.13,14.66,14.48
Operating Margin (%),5.61,7.13,7.59,7.35,6.83,7.60,7.74,7.86,8.40,7.88
Profit Margin (%),2.84,-6.38,4.99,3.46,3.60,5.70,6.01,5.11,5.48,4.76
Sales per Employee,262364,266474,0,220094,328065,318563,326294,315308,319465,319911
Dividend per Share,5.75,1.28,1.60,11.13,1.30,1.31,1.38,1.38,1.41,1.45
Depreciation Expense,81,62,44,122,336,257,234,282,325,333
