,2019,2020,2021,2022
Sales/Revenue/Turnover,16633,17164,17585,18341
+ Sales & Services Revenue,16633,17164,17585,18341
- Cost of Revenue,10085,10397,10411,11162
+ Cost of Goods & Services,10085,10397,10411,11162
Gross Profit,6548,6767,7174,7179
+ Other Operating Income,0,0,0,0
- Operating Expenses,4424,4047,4379,4657
"+ Selling, General & Admin",3591,3237,3563,3631
+ Research & Development,833,810,816,1026
+ Other Operating Expense,0,0,0,0
Operating Income (Loss),2124,2720,2795,2522
- Non-Operating (Income) Loss,33,10,-80,10
"+ Interest Expense, Net",52,17,6,77
+ Interest Expense,88,66,40,77
- Interest Income,36,49,34,0
+ Other Non-Op (Income) Loss,-19,-7,-86,-67
Pretax Income,2091,2710,2875,2512
- Income Tax Expense (Benefit),410,652,600,563
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,1681,2058,2275,1949
- Net Extraordinary Losses (Gains),186,-11737,74,84
+ Discontinued Operations,-128,11839,18,18
+ Extraord. & Accounting Changes,314,-23576,56,66
Income (Loss) Incl. MI,1495,13795,2201,1865
- Minority Interest,-29,-51,-46,-51
"Net Income, GAAP",1524,13846,2247,1916
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",1524,13846,2247,1916
Basic Weighted Avg Shares,455,455,455,454
"Basic EPS, GAAP",3.35,30.45,4.94,4.22
Basic EPS from Cont Ops,3.70,4.53,5.00,4.29
Diluted Weighted Avg Shares,455,455,455,454
"Diluted EPS, GAAP",3.35,30.45,4.94,4.22
Diluted EPS from Cont Ops,3.70,4.53,5.00,4.29
EBITDA,2783,3350,3420,3155
EBITDA Margin (%),16.73,19.52,19.45,17.20
EBITA,2124,2720,2795,2522
EBIT,2124,2720,2795,2522
Gross Margin (%),39.37,39.43,40.80,39.14
Operating Margin (%),12.77,15.85,15.89,13.75
Profit Margin (%),9.16,80.67,12.78,10.45
Sales per Employee,0,0,0,366820
Dividend per Share,0,0,0,0
Depreciation Expense,659,630,625,633
