,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,10447,9868,6335,7660,7152,9451,13306,15157,16116,19233
- Cash & Cash Equivalents,1642,1539,1262,1305,949,1166,1029,1089,943,1374
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,825,838
+ Minority/Non Controlling Interest,3321,3053,3022,2906,2380,2396,2233,2086,1769,2067
+ Total Debt,21049,20858,20807,20463,19965,19295,20173,19881,18699,23498
Enterprise Value,32507,31531,28418,28926,28124,29663,34283,35700,36234,43532
Total Capital,24228,24431,23980,22231,20077,20694,21722,21295,20212,24776
Total Debt/Capital (%),86.88,85.38,86.77,92.05,99.44,93.24,92.87,93.36,92.51,94.84
Total Debt / EV,0.65,0.66,0.73,0.71,0.71,0.65,0.59,0.56,0.52,0.54
EV/Sales,2.05,1.84,1.90,2.13,2.67,2.76,3.36,3.70,3.25,3.45
EV/EBITDA,7.52,7.61,7.45,8.47,8.23,8.77,10.72,9.93,10.06,12.83
EV/EBIT,10.74,10.87,10.64,12.92,12.51,12.46,15.92,14.12,14.24,18.60
EV/Cash Flow to Firm,8.76,10.98,9.55,4.61,13.04,9.79,10.89,10.71,13.42,7.80
EV/Free Cash Flow to Firm,5.70,6.45,5.38,3.35,6.49,5.76,6.18,6.82,7.53,4.30
Diluted Market Cap,10816,10171,6607,7634,7148,9484,13367,15217,16097,19150
Diluted Enterprise Value,33544,32543,29174,29698,28544,30009,34744,36095,36447,44179
EV per Share,44.99,44.80,42.62,43.88,42.59,44.79,51.63,53.65,54.34,65.10
TTM Sales,15891,17146,14963,13586,10530,10736,10189,9660,11141,12617
TTM EBITDA,4321,4146,3814,3415,3418,3384,3198,3596,3601,3394
TTM Operating Income,3027,2901,2670,2239,2249,2381,2153,2528,2545,2341
TTM Cash Flow to Firm,3712,2871,2975,6279,2157,3029,3147,3334,2699,5584
TTM Free Cash Flow to Firm,5700,4887,5283,8624,4334,5150,5552,5234,4815,10135
