,2019,2020,2021,2022
Sales/Revenue/Turnover,2847,2915,3416,4182
+ Sales & Services Revenue,2847,2915,3416,4182
- Cost of Revenue,797,867,921,1053
+ Cost of Goods & Services,797,867,921,1053
Gross Profit,2050,2048,2495,3129
+ Other Operating Income,0,0,0,0
- Operating Expenses,585,636,815,1003
"+ Selling, General & Admin",72,83,101,115
+ Research & Development,7,10,8,18
+ Other Operating Expense,506,543,705,871
Operating Income (Loss),1465,1411,1681,2126
- Non-Operating (Income) Loss,-61,50,-279,-2240
"+ Interest Expense, Net",17,34,78,96
+ Interest Expense,46,56,91,136
- Interest Income,28,22,12,41
+ Other Non-Op (Income) Loss,-78,16,-358,-2336
Pretax Income,1526,1361,1960,4366
- Income Tax Expense (Benefit),0,0,0,0
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,1526,1361,1960,4366
- Net Extraordinary Losses (Gains),10,8,13,34
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,10,8,13,34
Income (Loss) Incl. MI,1515,1353,1947,4332
- Minority Interest,-5,-4,-6,-17
"Net Income, GAAP",1521,1357,1953,4349
- Preferred Dividends,210,207,187,194
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",1310,1150,1767,4155
Basic Weighted Avg Shares,174,174,175,175
"Basic EPS, GAAP",7.52,6.59,10.10,23.71
Basic EPS from Cont Ops,8.75,7.80,11.21,24.91
Diluted Weighted Avg Shares,175,175,176,176
"Diluted EPS, GAAP",7.51,6.59,10.06,23.57
Diluted EPS from Cont Ops,8.74,7.79,11.16,24.77
EBITDA,1978,1964,2394,3015
EBITDA Margin (%),69.48,67.39,70.08,72.08
EBITA,1465,1411,1681,2126
EBIT,1465,1411,1681,2126
Gross Margin (%),72.01,70.24,73.05,74.82
Operating Margin (%),51.47,48.41,49.20,50.84
Profit Margin (%),53.41,46.56,57.18,103.99
Sales per Employee,482512,539827,588935,708841
Dividend per Share,9.23,9.21,9.09,22.30
Depreciation Expense,513,553,713,888
