,2019,2020,2021,2022
+ Net Income,1526,1361,1960,4366
+ Depreciation & Amortization,513,553,713,888
+ Non-Cash Items,29,128,-130,-2137
+ Stock-Based Compensation,26,33,60,57
+ Deferred Income Taxes,0,0,0,0
+ Asset Impairment Charge,0,0,0,0
+ Other Non-Cash Adj,3,95,-189,-2194
+ Chg in Non-Cash Work Cap,0,0,0,0
+ (Inc) Dec in Accts Receiv,0,0,0,0
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,0,0,0
+ Inc (Dec) in Accts Payable,0,0,0,0
+ Inc (Dec) in Other,0,0,0,0
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,2068,2043,2544,3117
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-187,-170,-270,-460
+ Acq of Fixed Prod Assets,-187,-170,-270,-460
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,0,0,0,0
+ Dec in LT Investment,0,0,0,0
+ Inc in LT Investment,0,0,0,0
+ Net Cash From Acq & Div,0,0,0,0
+ Cash from Divestitures,0,0,0,0
+ Cash for Acq of Subs,0,0,0,0
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-710,-948,-5293,1580
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-897,-1118,-5564,1120
+ Dividends Paid,-1609,-1606,-1589,-3908
+ Net Cash From Debt,495,543,5037,-513
+ Cash From Debt,497,545,5039,0
+ Repayments of Debt,-2,-2,-2,-513
+ Cash (Repurchase) of Equity,21,2,96,35
+ Increase in Capital Stock,34,13,96,35
+ Decrease in Capital Stock,-12,-11,0,0
+ Other Financing Activities,-28,-15,-46,193
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-1121,-1076,3498,-4193
Effect of Foreign Exchange Rates,0,0,1,0
Net Changes in Cash,50,-151,478,44
EBITDA,1978,1964,2394,3015
EBITDA Margin (%),69.48,67.39,70.08,72.08
Net Cash Paid for Acquisitions,0,0,0,0
Free Cash Flow,1880,1873,2273,2657
Free Cash Flow to Firm,1926,1929,2364,2794
Free Cash Flow to Equity,0,1936,7431,2199
Free Cash Flow per Basic Share,10.79,10.73,13.00,15.16
Price/Free Cash Flow,16.48,18.22,23.37,13.81
Cash Flow to Net Income,1.36,1.51,1.30,0.72
