,2019,2020,2021,2022
+ Net Income,361,136,269,396
+ Depreciation & Amortization,240,255,280,302
+ Non-Cash Items,-114,-16,-91,-178
+ Stock-Based Compensation,0,0,13,14
+ Deferred Income Taxes,0,0,0,0
+ Asset Impairment Charge,0,57,0,0
+ Other Non-Cash Adj,-114,-73,-104,-192
+ Chg in Non-Cash Work Cap,-24,-5,13,-3
+ (Inc) Dec in Accts Receiv,-16,-6,1,-12
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,-10,-3,-6,-1
+ Inc (Dec) in Accts Payable,2,4,7,0
+ Inc (Dec) in Other,0,0,11,10
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,462,370,471,517
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-410,-502,-441,-417
+ Acq of Fixed Prod Assets,-410,-502,-441,-417
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,0,0,0,0
+ Dec in LT Investment,0,0,0,0
+ Inc in LT Investment,0,0,0,0
+ Net Cash From Acq & Div,-1,-3,-3,-27
+ Cash from Divestitures,0,0,0,0
+ Cash for Acq of Subs,-1,-3,-3,-27
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,94,137,-216,-342
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-317,-368,-660,-786
+ Dividends Paid,-314,-325,-336,-347
+ Net Cash From Debt,95,912,-278,279
+ Cash From Debt,400,1493,0,299
+ Repayments of Debt,-305,-581,-278,-19
+ Cash (Repurchase) of Equity,138,95,170,302
+ Increase in Capital Stock,143,99,173,307
+ Decrease in Capital Stock,-5,-4,-3,-5
+ Other Financing Activities,-20,-21,-10,-44
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-100,662,-453,190
Effect of Foreign Exchange Rates,0,0,0,0
Net Changes in Cash,45,663,-642,-79
EBITDA,594,504,585,665
EBITDA Margin (%),63.51,60.28,61.47,61.89
Net Cash Paid for Acquisitions,1,3,3,27
Free Cash Flow,52,-132,31,100
Free Cash Flow to Firm,162,4,159,237
Free Cash Flow to Equity,0,772,-255,371
Free Cash Flow per Basic Share,0.70,-1.75,0.40,1.25
Price/Free Cash Flow,11.04,7.37,11.57,8.71
Cash Flow to Net Income,1.31,2.81,1.80,1.34
