,2019,2020,2021,2022
Sales/Revenue/Turnover,936,835,951,1074
+ Sales & Services Revenue,936,835,951,1074
- Cost of Revenue,299,290,317,357
+ Cost of Goods & Services,299,290,317,357
Gross Profit,637,545,635,718
+ Other Operating Income,0,0,0,0
- Operating Expenses,283,297,330,355
"+ Selling, General & Admin",43,42,50,53
+ Research & Development,0,0,0,0
+ Other Operating Expense,240,255,280,302
Operating Income (Loss),355,249,305,363
- Non-Operating (Income) Loss,-6,113,36,-33
"+ Interest Expense, Net",108,134,127,136
+ Interest Expense,110,136,128,137
- Interest Income,1,2,1,1
+ Other Non-Op (Income) Loss,-114,-22,-91,-169
Pretax Income,361,136,269,396
- Income Tax Expense (Benefit),0,0,0,0
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,361,136,269,396
- Net Extraordinary Losses (Gains),13,8,15,20
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,13,8,15,20
Income (Loss) Incl. MI,347,128,254,375
- Minority Interest,-7,-4,-8,-10
"Net Income, GAAP",354,132,261,385
- Preferred Dividends,8,8,8,8
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",346,124,253,377
Basic Weighted Avg Shares,75,76,77,80
"Basic EPS, GAAP",4.63,1.64,3.28,4.73
Basic EPS from Cont Ops,4.82,1.80,3.48,4.95
Diluted Weighted Avg Shares,75,76,77,81
"Diluted EPS, GAAP",4.63,1.64,3.28,4.69
Diluted EPS from Cont Ops,4.82,1.80,3.48,4.91
EBITDA,594,504,585,665
EBITDA Margin (%),63.51,60.28,61.47,61.89
EBITA,355,249,305,363
EBIT,355,249,305,363
Gross Margin (%),68.07,65.27,66.71,66.79
Operating Margin (%),37.88,29.76,32.04,33.75
Profit Margin (%),37.81,15.76,27.49,35.88
Sales per Employee,2989738,2686476,3019759,3336578
Dividend per Share,4.20,4.30,4.34,4.35
Depreciation Expense,240,255,280,302
