,2020,2021,2022,2023
Price/Earnings,21.10,21.39,19.57,20.35
Price/Earnings Average,19.70,17.82,17.08,19.66
Price/Earnings High,22.35,23.16,21.71,23.52
Price/Earnings Low,16.63,7.69,12.44,16.62
Price/Book Value,42.07,82.24,-33.27,-8.60
Price/Book Value Average,39.29,68.52,-29.03,-8.31
Price/Book Value High,44.57,89.06,-36.91,-9.94
Price/Book Value Low,33.16,29.58,-21.14,-7.02
Price/Tangible Book Value,53.14,108.32,-28.15,-8.78
Price/Tangible Book Value Average,49.63,90.25,-24.56,-8.48
Price/Tangible Book Value High,56.29,117.29,-31.23,-10.15
Price/Tangible Book Value Low,41.88,38.95,-17.89,-7.17
Price/Sales,1.25,1.39,1.72,1.35
Price/Sales Average,1.17,1.16,1.50,1.30
Price/Sales High,1.33,1.51,1.90,1.56
Price/Sales Low,0.99,0.50,1.09,1.10
Price/Cash Flow,21.02,11.30,16.33,15.25
Price/Cash Flow Average,19.63,9.41,14.25,14.74
Price/Cash Flow High,22.27,12.23,18.12,17.63
Price/Cash Flow Low,16.57,4.06,10.38,12.46
Price/Free Cash Flow,15.65,9.75,13.86,12.61
Price/Free Cash Flow Average,14.61,8.12,12.10,12.19
Price/Free Cash Flow High,16.57,10.55,15.38,14.58
Price/Free Cash Flow Low,12.33,3.50,8.81,10.30
EV/Sales,1.55,1.60,1.94,1.66
EV/Sales Average,1.47,1.37,1.74,1.62
EV/Sales High,1.62,1.71,2.13,1.87
EV/Sales Low,1.29,0.73,1.34,1.43
EV/EBITDA,14.44,12.72,13.38,13.30
EV/EBITDA Average,13.71,10.95,11.95,12.98
EV/EBITDA High,15.15,13.66,14.65,14.94
EV/EBITDA Low,12.03,5.82,9.25,11.44
EV/EBIT,17.67,14.82,15.46,15.89
EV/EBIT Average,16.77,12.76,13.81,15.51
EV/EBIT High,18.53,15.92,16.92,17.85
EV/EBIT Low,14.72,6.78,10.69,13.67
Last Price,116.24,166.85,237.35,208.25
High Price,123.14,180.67,263.31,240.71
Low Price,91.60,60.00,150.84,170.12
Enterprise Value,111565,142982,187005,161420
Enterprise Value Average,105865,123142,167018,157585
Enterprise Value High,116990,153591,204669,181313
Enterprise Value Low,92925,65381,129314,138888
