,2020,2021,2022,2023
Market Capitalization,88691,121967,159025,125158
- Cash & Cash Equivalents,716,4690,1133,1348
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0
+ Total Debt,23750,26211,29384,37994
Enterprise Value,111565,142982,187005,161420
Total Capital,25858,27694,24604,23433
Total Debt/Capital (%),91.85,94.65,119.43,162.14
Total Debt / EV,0.21,0.18,0.16,0.24
EV/Sales,1.55,1.60,1.94,1.66
EV/EBITDA,14.44,12.72,13.38,13.30
EV/EBIT,17.67,14.82,15.46,15.89
EV/Cash Flow to Firm,23.14,12.23,17.33,17.14
EV/Free Cash Flow to Firm,17.69,10.61,14.79,14.36
Diluted Market Cap,90435,125138,165908,131406
Diluted Enterprise Value,113469,146659,194159,168052
EV per Share,146.22,195.60,279.11,268.59
TTM Sales,72148,89597,96250,97059
TTM EBITDA,7724,11241,13975,12140
TTM Operating Income,6314,9647,12093,10159
TTM Cash Flow to Firm,4822,11688,10789,9415
TTM Free Cash Flow to Firm,6306,13479,12642,11244
