,2019,2020,2021,2022
Market Capitalization,11779,13685,18937,31204
- Cash & Cash Equivalents,1102,316,740,209
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,84,78,79,356
+ Total Debt,4792,6766,4695,13740
Enterprise Value,15493,20193,22971,44874
Total Capital,5088,6988,5126,14199
Total Debt/Capital (%),94.17,96.81,91.59,96.77
Total Debt / EV,0.31,0.34,0.20,0.31
EV/Sales,17.31,16.48,15.22,17.25
EV/EBITDA,18.20,22.02,15.87,27.44
EV/EBIT,18.28,22.11,15.90,27.49
EV/Cash Flow to Firm,16.66,16.94,17.84,18.08
EV/Free Cash Flow to Firm,16.61,16.90,17.81,18.07
Diluted Market Cap,11220,13028,17375,28501
Diluted Enterprise Value,14994,19556,21409,42389
EV per Share,33.61,37.63,36.52,46.59
TTM Sales,895,1226,1510,2601
TTM EBITDA,851,917,1447,1636
TTM Operating Income,847,913,1444,1632
TTM Cash Flow to Firm,930,1192,1288,2482
TTM Free Cash Flow to Firm,933,1195,1290,2484
