,2019,2020,2021,2022
Price/Earnings,20.36,14.47,16.76,25.44
Price/Earnings Average,17.84,12.63,16.38,24.10
Price/Earnings High,20.36,16.32,18.57,28.02
Price/Earnings Low,14.61,5.59,13.65,20.59
Price/Book Value,55.38,94.50,53.75,303.59
Price/Book Value Average,48.51,82.45,52.53,287.59
Price/Book Value High,55.38,106.54,59.54,334.42
Price/Book Value Low,39.73,36.50,43.75,245.78
Price/Tangible Book Value,1.46,1.44,1.55,1.40
Price/Tangible Book Value Average,1.28,1.26,1.52,1.33
Price/Tangible Book Value High,1.46,1.63,1.72,1.54
Price/Tangible Book Value Low,1.05,0.56,1.26,1.13
Price/Sales,12.42,10.53,11.26,10.93
Price/Sales Average,10.88,9.19,11.00,10.36
Price/Sales High,12.42,11.87,12.47,12.04
Price/Sales Low,8.91,4.07,9.16,8.85
Price/Cash Flow,16.30,14.61,18.96,14.63
Price/Cash Flow Average,14.27,12.74,18.53,13.86
Price/Cash Flow High,16.30,16.47,21.00,16.12
Price/Cash Flow Low,11.69,5.64,15.43,11.84
Price/Free Cash Flow,16.38,14.70,19.33,14.65
Price/Free Cash Flow Average,14.35,12.82,18.89,13.88
Price/Free Cash Flow High,16.38,16.57,21.41,16.14
Price/Free Cash Flow Low,11.75,5.68,15.74,11.86
EV/Sales,17.31,16.48,15.22,17.25
EV/Sales Average,15.75,15.07,14.93,16.71
EV/Sales High,17.38,17.92,16.57,18.56
EV/Sales Low,13.66,9.64,12.88,15.05
EV/EBITDA,18.20,22.02,15.87,27.44
EV/EBITDA Average,16.55,20.14,15.57,26.56
EV/EBITDA High,18.27,23.94,17.28,29.51
EV/EBITDA Low,14.36,12.88,13.44,23.94
EV/EBIT,18.28,22.11,15.90,27.49
EV/EBIT Average,16.63,20.22,15.61,26.61
EV/EBIT High,18.35,24.04,17.32,29.56
EV/EBIT Low,14.42,12.94,13.47,23.98
Last Price,25.55,25.50,30.11,32.40
High Price,25.55,28.75,33.35,35.69
Low Price,18.33,9.85,24.51,26.23
Enterprise Value,15493,20193,22971,44874
Enterprise Value Average,14091,18469,22539,43447
Enterprise Value High,15552,21957,25009,48260
Enterprise Value Low,12224,11814,19449,39149
