,2019,2020,2021,2022
Cash Ratio,1.06,186.39,288.19,140.36
Current Ratio,2.71,227.24,335.65,197.48
Quick Ratio,2.79,227.24,335.65,197.48
CFO/Avg Current Liab,0,8.96,115.33,161.08
Common Equity/Total Assets,-8.19,-1.36,1.65,-0.64
Long-Term Debt/Equity (%),109.33,95.89,75.07,74.66
Long-Term Debt/Capital (%),117.83,101.50,93.49,98.50
Long-Term Debt/Total Assets (%),49.18,46.94,41.17,40.79
Total Debt/Equity (%),109.33,95.89,75.07,74.66
Total Debt/Capital (%),117.83,101.50,93.49,98.50
Total Debt/Total Assets (%),49.18,46.94,41.17,40.79
CFO/Total Liabilities,9.65,9.95,7.42,10.65
CFO/CapEx,0,0,0,0
Altman's Z-Score,1.03,0.95,1.39,1.24
