,2019,2020,2021,2022
Market Capitalization,8943,6492,15201,13099
- Cash & Cash Equivalents,124,293,335,150
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,82,78,224,224
+ Total Debt,5408,5452,7599,7272
Enterprise Value,14300,11022,21478,19848
Total Capital,4590,5372,8129,7383
Total Debt/Capital (%),117.83,101.50,93.49,98.50
Total Debt / EV,0.38,0.49,0.35,0.37
EV/Sales,12.34,10.42,15.74,11.49
EV/EBITDA,19.72,17.73,25.49,18.66
EV/EBIT,31.98,33.12,48.02,34.68
EV/Cash Flow to Firm,18.74,14.19,26.13,24.88
EV/Free Cash Flow to Firm,18.74,14.19,26.13,24.88
Diluted Market Cap,8735,6479,12606,13086
Diluted Enterprise Value,14102,11716,20095,20432
EV per Share,33.12,25.48,34.83,32.09
TTM Sales,1159,1058,1365,1728
TTM EBITDA,725,622,843,1064
TTM Operating Income,447,333,447,572
TTM Cash Flow to Firm,763,777,822,798
TTM Free Cash Flow to Firm,763,777,822,798
