,2019,2020,2021,2022
Price/Earnings,24.28,6.62,15.24,129.39
Price/Earnings Average,22.09,5.87,12.86,136.17
Price/Earnings High,25.63,9.16,20.49,162.28
Price/Earnings Low,16.79,3.28,8.83,108.19
Price/Book Value,-9.93,-40.96,49.79,-115.55
Price/Book Value Average,-9.04,-36.33,42.00,-121.61
Price/Book Value High,-10.48,-56.71,66.94,-144.93
Price/Book Value Low,-6.87,-20.33,28.83,-96.62
Price/Tangible Book Value,1.81,1.14,1.50,1.34
Price/Tangible Book Value Average,1.64,1.01,1.27,1.42
Price/Tangible Book Value High,1.91,1.58,2.02,1.69
Price/Tangible Book Value Low,1.25,0.57,0.87,1.12
Price/Sales,7.51,6.10,9.14,7.55
Price/Sales Average,6.83,5.41,7.71,7.94
Price/Sales High,7.93,8.45,12.29,9.46
Price/Sales Low,5.19,3.03,5.30,6.31
Price/Cash Flow,14.92,10.94,20.16,15.14
Price/Cash Flow Average,13.57,9.70,17.01,15.93
Price/Cash Flow High,15.75,15.15,27.11,18.99
Price/Cash Flow Low,10.31,5.43,11.68,12.66
Price/Free Cash Flow,14.97,10.98,20.37,15.20
Price/Free Cash Flow Average,13.62,9.74,17.18,15.99
Price/Free Cash Flow High,15.80,15.20,27.38,19.06
Price/Free Cash Flow Low,10.35,5.45,11.80,12.71
EV/Sales,12.34,10.42,15.74,11.49
EV/Sales Average,11.65,10.39,14.88,12.23
EV/Sales High,12.78,13.45,20.46,13.76
EV/Sales Low,9.97,8.00,11.94,10.59
EV/EBITDA,19.72,17.73,25.49,18.66
EV/EBITDA Average,18.62,17.69,24.11,19.87
EV/EBITDA High,20.42,22.88,33.14,22.35
EV/EBITDA Low,15.93,13.61,19.34,17.20
EV/EBIT,31.98,33.12,48.02,34.68
EV/EBIT Average,30.20,33.04,45.42,36.93
EV/EBIT High,33.11,42.75,62.44,41.55
EV/EBIT Low,25.83,25.42,36.43,31.98
Last Price,20.71,15.01,24.65,21.18
High Price,21.86,20.78,33.14,26.57
Low Price,14.32,7.45,14.28,17.71
Enterprise Value,14300,11022,21478,19848
Enterprise Value Average,13502,10995,20312,21132
Enterprise Value High,14806,14225,27925,23776
Enterprise Value Low,11550,8459,16292,18299
