,2019,2020,2021,2022
Market Capitalization,21339,0,0,10594
- Cash & Cash Equivalents,645,1669,453,690
+ Preferred Equity and Hybrid Capital,200,200,0,0
+ Minority/Non Controlling Interest,2338,2350,2209,2238
+ Total Debt,12236,13486,13346,14694
Enterprise Value,35468,14368,15102,26835
Total Capital,14015,15528,14930,16542
Total Debt/Capital (%),87.31,86.85,89.39,88.83
Total Debt / EV,0.34,0.94,0.88,0.55
EV/Sales,11.98,5.19,5.23,8.63
EV/EBITDA,20.53,9.02,8.92,14.80
EV/EBIT,33.86,15.84,15.52,25.28
EV/Cash Flow to Firm,22.25,9.04,9.70,15.61
EV/Free Cash Flow to Firm,22.25,9.04,9.70,15.61
Diluted Market Cap,21352,0,0,10619
Diluted Enterprise Value,35481,14368,15102,26861
EV per Share,229.14,92.27,96.47,171.19
TTM Sales,2961,2766,2889,3109
TTM EBITDA,1728,1593,1694,1814
TTM Operating Income,1048,907,973,1061
TTM Cash Flow to Firm,1594,1589,1557,1720
TTM Free Cash Flow to Firm,1594,1589,1557,1720
