,2019,2020,2021,2022
Price/Earnings,41.70,0,0,12.48
Price/Earnings Average,39.89,0,0,18.80
Price/Earnings High,42.45,0,0,27.29
Price/Earnings Low,32.65,0,0,11.89
Price/Book Value,-28.12,0,0,-27.18
Price/Book Value Average,-26.90,0,0,-40.95
Price/Book Value High,-28.62,0,0,-59.45
Price/Book Value Low,-22.01,0,0,-25.91
Price/Tangible Book Value,2.73,0,0,1.27
Price/Tangible Book Value Average,2.61,0,0,1.91
Price/Tangible Book Value High,2.78,0,0,2.77
Price/Tangible Book Value Low,2.14,0,0,1.21
Price/Sales,7.20,0,0,3.41
Price/Sales Average,6.89,0,0,5.13
Price/Sales High,7.33,0,0,7.45
Price/Sales Low,5.64,0,0,3.25
Price/Cash Flow,18.04,0,0,8.26
Price/Cash Flow Average,17.26,0,0,12.45
Price/Cash Flow High,18.37,0,0,18.07
Price/Cash Flow Low,14.13,0,0,7.87
Price/Free Cash Flow,18.08,0,0,8.28
Price/Free Cash Flow Average,17.29,0,0,12.48
Price/Free Cash Flow High,18.40,0,0,18.11
Price/Free Cash Flow Low,14.15,0,0,7.89
EV/Sales,11.98,5.19,5.23,8.63
EV/Sales Average,11.67,5.19,5.23,10.36
EV/Sales High,12.11,5.19,5.23,12.68
EV/Sales Low,10.42,5.19,5.23,8.47
EV/EBITDA,20.53,9.02,8.92,14.80
EV/EBITDA Average,19.99,9.02,8.92,17.76
EV/EBITDA High,20.75,9.02,8.92,21.73
EV/EBITDA Low,17.85,9.02,8.92,14.52
EV/EBIT,33.86,15.84,15.52,25.28
EV/EBIT Average,32.97,15.84,15.52,30.34
EV/EBIT High,34.22,15.84,15.52,37.13
EV/EBIT Low,29.44,15.84,15.52,24.82
Last Price,137.86,0,0,67.58
High Price,140.35,0,0,147.83
Low Price,107.94,0,0,64.43
Enterprise Value,35468,14368,15102,26835
Enterprise Value Average,34542,14368,15102,32205
Enterprise Value High,35854,14368,15102,39415
Enterprise Value Low,30837,14368,15102,26341
