,2019,2020,2021,2022
Sales/Revenue/Turnover,624,774,1382,2331
+ Sales & Services Revenue,624,774,1382,2331
- Cost of Revenue,403,428,828,1356
+ Cost of Goods & Services,403,428,828,1356
Gross Profit,221,346,554,975
+ Other Operating Income,0,0,0,0
- Operating Expenses,116,160,339,524
"+ Selling, General & Admin",76,104,233,355
+ Research & Development,40,56,106,169
+ Other Operating Expense,0,0,0,0
Operating Income (Loss),105,186,216,451
- Non-Operating (Income) Loss,15,67,95,-1
"+ Interest Expense, Net",7,19,44,-4
+ Interest Expense,10,21,45,9
- Interest Income,3,2,1,14
+ Other Non-Op (Income) Loss,8,48,50,3
Pretax Income,90,119,121,452
- Income Tax Expense (Benefit),-71,-15,-25,55
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,161,134,145,397
- Net Extraordinary Losses (Gains),0,0,0,0
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0
Income (Loss) Incl. MI,161,134,145,397
- Minority Interest,0,0,0,0
"Net Income, GAAP",161,134,145,397
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",161,134,145,397
Basic Weighted Avg Shares,117,126,134,135
"Basic EPS, GAAP",1.38,1.07,1.09,2.94
Basic EPS from Cont Ops,1.38,1.07,1.09,2.94
Diluted Weighted Avg Shares,132,142,143,144
"Diluted EPS, GAAP",1.22,0.94,1.02,2.75
Diluted EPS from Cont Ops,1.22,0.94,1.02,2.75
EBITDA,119,204,248,509
EBITDA Margin (%),19.13,26.30,17.96,21.86
EBITA,105,186,216,451
EBIT,105,186,216,451
Gross Margin (%),35.44,44.68,40.12,41.81
Operating Margin (%),16.87,24.07,15.62,19.33
Profit Margin (%),25.81,17.30,10.52,17.05
Sales per Employee,1082033,911088,611526,826251
Dividend per Share,0,0,0,0
Depreciation Expense,14,17,32,59
