,2019,2020,2021,2022
Total Current Assets,500,933,1462,2264
"+ Cash, Cash Equivalents & STI",251,679,1017,1613
+ Cash & Cash Equivalents,251,679,119,473
+ ST Investments,0,0,897,1140
+ Accounts & Notes Receiv,145,182,334,441
"+ Accounts Receivable, Net",145,182,334,441
"+ Notes Receivable, Net",0,0,0,0
"+ Loans Receivable, Net",0,0,0,0
"+ Other Receivable, Net",0,0,0,0
+ Inventories,32,42,74,150
+ Raw Materials,4,10,25,35
+ Work In Process,0,0,0,0
+ Finished Goods,28,32,49,115
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,71,30,38,61
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,214,267,617,820
"+ Property, Plant & Equip, Net",-13,-1,19,29
"+ Property, Plant & Equip",39,61,97,133
- Accumulated Depreciation,52,62,77,104
+ LT Investments & Receivables,0,0,0,0
+ LT Investments,0,0,0,0
+ LT Receivables,0,0,0,0
+ Other LT Assets,227,268,598,791
+ Total Intangible Assets,55,54,279,313
+ Goodwill,25,25,181,214
+ Other Intangible Assets,31,29,98,100
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,171,214,319,478
Total Assets,713,1200,2079,3084
+ Payables & Accruals,105,149,272,421
+ Accounts Payable,57,73,114,125
+ Accrued Taxes,0,0,8,36
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,47,77,150,260
+ ST Debt,3,326,86,91
+ ST Borrowings,3,326,86,91
+ ST Finance Leases,3,5,4,5
+ Other ST Liabilities,92,59,82,126
+ Deferred Revenue,82,48,63,91
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,10,11,19,36
Total Current Liabilities,199,534,440,638
+ LT Debt,103,5,952,1199
+ LT Borrowings,103,5,952,1199
+ LT Finance Leases,0,0,0,0
+ Other LT Liabilities,139,177,258,421
+ Accrued Liabilities,100,125,187,282
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,39,52,71,139
Total Noncurrent Liabilities,242,182,1209,1620
Total Liabilities,441,716,1649,2259
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Share Capital & APIC,458,535,838,819
+ Common Stock,0,0,0,0
+ Additional Paid in Capital,458,535,838,819
- Treasury Stock,0,0,0,0
+ Retained Earnings,-185,-51,-406,17
+ Other Equity,-1,0,-2,-11
Equity Before Minority Interest,272,484,430,826
+ Minority/Non Controlling Interest,0,0,0,0
Total Equity,272,484,430,826
Total Liabilities & Equity,713,1200,2079,3084
Shares Outstanding,123,129,134,136
Capital Leases - Total,3,5,4,5
Net Debt,-146,-349,918,817
Net Debt to Equity,-53.59,-72.01,213.48,98.98
Tangible Common Equity Ratio,33,38,8,18
Current Ratio,2.51,1.75,3.33,3.55
Cash Conversion Cycle,0,54.46,54.19,60.35
Number of Employees,577,850,2260,2821
