,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,270,278,295,340,434,487,366,318,201
+ Depreciation & Amortization,79,96,96,109,143,162,184,189,192
+ Non-Cash Items,37,-6,-36,3,-33,56,58,2,111
+ Stock-Based Compensation,5,7,9,15,14,19,23,21,21
+ Deferred Income Taxes,0,24,21,15,-4,38,20,4,14
+ Asset Impairment Charge,23,0,0,0,0,0,0,0,0
+ Other Non-Cash Adj,9,-37,-65,-27,-43,-1,15,-22,76
+ Chg in Non-Cash Work Cap,0,-14,28,-5,-63,-24,-34,45,-86
+ (Inc) Dec in Accts Receiv,-3,4,-15,1,-40,-25,1,-21,-76
+ (Inc) Dec in Inventories,25,-44,-11,-26,-24,-16,15,-22,-63
+ (Inc) Dec in Prepaid Assets,7,8,4,-12,-15,-2,-2,-5,-7
+ Inc (Dec) in Accts Payable,-2,18,31,47,3,35,-51,96,49
+ Inc (Dec) in Other,-26,0,20,-16,14,-16,3,-3,12
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,386,354,382,447,481,681,574,553,418
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,21,0,8,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,21,0,8,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-195,-115,-152,-287,-307,-334,-168,-147,-290
+ Acq of Fixed Prod Assets,-195,-115,-152,-287,-307,-334,-168,-147,-290
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,0,0,0,0,0,0,0,0,0
+ Dec in LT Investment,0,0,0,0,0,0,0,0,0
+ Inc in LT Investment,0,0,0,0,0,0,0,0,0
+ Net Cash From Acq & Div,0,-75,0,0,0,-89,-139,0,0
+ Cash from Divestitures,0,0,0,0,0,0,0,0,0
+ Cash for Acq of Subs,0,-75,0,0,0,-89,-139,0,0
+ Cash for JVs,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,0,18,0,2,0,0,-39,-15,-20
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-173,-171,-144,-285,-307,-423,-346,-162,-310
+ Dividends Paid,0,0,0,-851,-110,-113,-121,-135,-138
+ Net Cash From Debt,-4,-3,-9,774,-39,-67,787,-305,-62
+ Cash From Debt,0,0,30,798,0,0,1123,0,1676
+ Repayments of Debt,-4,-3,-39,-24,-39,-67,-336,-305,-1738
+ Cash (Repurchase) of Equity,0,0,0,0,-3,-36,-29,-36,-158
+ Increase in Capital Stock,0,0,0,0,0,0,0,0,0
+ Decrease in Capital Stock,0,0,0,0,-3,-36,-29,-36,-158
+ Other Financing Activities,-196,-175,-224,-65,-27,-83,489,-497,-5
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,-200,-178,-233,-142,-179,-300,1125,-974,-363
Effect of Foreign Exchange Rates,0,-1,1,1,3,-2,-1,3,-3
Net Changes in Cash,14,5,5,20,-4,-42,1353,-583,-256
EBITDA,443,478,469,627,723,831,741,664,637
EBITDA Margin (%),15.73,16.34,15.67,19.80,21.13,22.12,19.54,18.08,15.53
Net Cash Paid for Acquisitions,0,75,0,0,0,89,139,0,0
Free Cash Flow,192,239,230,160,174,347,406,406,128
Free Cash Flow to Firm,196,243,234,198,255,428,487,494,248
Free Cash Flow to Equity,0,236,229,934,135,280,1193,101,66
Free Cash Flow per Basic Share,1.31,1.63,1.57,1.09,1.19,2.37,2.78,2.77,0.88
Price/Free Cash Flow,0,0,0,9.22,12.13,8.71,11.91,17.32,14.01
Cash Flow to Net Income,1.48,1.32,1.34,1.37,1.15,1.42,1.57,1.74,2.08
