,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,2815,2925,2994,3168,3424,3757,3792,3671,4099
+ Sales & Services Revenue,2815,2925,2994,3168,3424,3757,3792,3671,4099
- Cost of Revenue,2230,2338,2326,2382,2544,2753,2897,2839,3267
+ Cost of Goods & Services,2230,2338,2326,2382,2544,2753,2897,2839,3267
Gross Profit,586,587,667,787,880,1004,895,832,832
+ Other Operating Income,0,0,0,0,0,0,0,0,0
- Operating Expenses,222,206,294,268,299,335,338,357,388
"+ Selling, General & Admin",222,206,294,268,299,335,338,357,388
+ Research & Development,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,0,0,0,0,0
Operating Income (Loss),364,381,373,518,580,668,557,475,444
- Non-Operating (Income) Loss,5,6,6,61,109,107,108,118,161
"+ Interest Expense, Net",5,6,6,61,109,107,108,118,161
+ Interest Expense,6,6,6,61,109,107,108,118,161
- Interest Income,0,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,0,0,0,0,0,0,0,0,0
Pretax Income,358,375,367,457,471,561,449,357,283
- Income Tax Expense (Benefit),118,140,145,170,121,134,112,91,72
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,270,278,295,340,434,487,366,318,201
- Net Extraordinary Losses (Gains),19,19,19,27,34,17,0,0,0
+ Discontinued Operations,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,19,19,19,27,34,17,0,0,0
Income (Loss) Incl. MI,252,259,276,314,400,470,366,318,201
- Minority Interest,-9,-9,-9,-13,-17,-9,0,0,0
"Net Income, GAAP",261,268,285,327,417,479,366,318,201
- Preferred Dividends,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",261,268,285,327,417,479,366,318,201
Basic Weighted Avg Shares,146,146,146,146,146,147,146,146,146
"Basic EPS, GAAP",1.78,1.83,1.95,2.24,2.85,3.27,2.50,2.17,1.38
Basic EPS from Cont Ops,1.85,1.90,2.01,2.33,2.96,3.33,2.50,2.17,1.38
Diluted Weighted Avg Shares,146,146,146,147,147,147,147,147,146
"Diluted EPS, GAAP",1.78,1.83,1.95,2.23,2.84,3.25,2.49,2.16,1.38
Diluted EPS from Cont Ops,1.85,1.90,2.01,2.32,2.95,3.31,2.49,2.16,1.38
EBITDA,443,478,469,627,723,831,741,664,637
EBITDA Margin (%),15.73,16.34,15.67,19.80,21.13,22.12,19.54,18.08,15.53
EBITA,364,381,373,518,580,668,557,475,444
EBIT,364,381,373,518,580,668,557,475,444
Gross Margin (%),20.80,20.08,22.29,24.83,25.69,26.71,23.61,22.66,20.30
Operating Margin (%),12.92,13.04,12.47,16.36,16.94,17.79,14.68,12.93,10.84
Profit Margin (%),9.27,9.17,9.53,10.32,12.17,12.74,9.65,8.66,4.90
Sales per Employee,0,0,467781,487385,475514,494276,492519,470628,512363
Dividend per Share,0,0,0,5.82,0.75,0.77,0.83,0.92,0.95
Depreciation Expense,79,96,96,109,143,162,184,189,192
