,2019,2020,2021,2022
Cash Ratio,0.27,0.52,0.12,0.11
Current Ratio,0.75,0.85,0.63,0.66
Quick Ratio,0.83,1.01,0.56,0.57
CFO/Avg Current Liab,0,1.16,0.84,0.95
Common Equity/Total Assets,-14.48,-16.45,-18.53,-22.14
Long-Term Debt/Equity (%),117.68,117.78,111.69,122.16
Long-Term Debt/Capital (%),126.86,143.09,151.44,163.56
Long-Term Debt/Total Assets (%),50.26,50.59,49.46,51.69
Total Debt/Equity (%),125.73,119.66,114.76,126.35
Total Debt/Capital (%),135.54,145.37,155.60,169.17
Total Debt/Total Assets (%),53.70,51.40,50.82,53.46
CFO/Total Liabilities,10.16,10.62,7.45,8.04
CFO/CapEx,2.56,2.74,2.37,2.47
Altman's Z-Score,0.96,-0.01,-0.08,0.67
