,2019,2020,2021,2022
Price/Earnings,48.80,0,0,0
Price/Earnings Average,54.97,0,0,-412.10
Price/Earnings High,63.73,0,0,-539.11
Price/Earnings Low,46.14,0,0,-112.38
Price/Book Value,-6.02,0,0,-3.37
Price/Book Value Average,-6.78,0,0,-3.66
Price/Book Value High,-7.86,0,0,-4.78
Price/Book Value Low,-5.69,0,0,-1.00
Price/Tangible Book Value,2.63,0,0,2.30
Price/Tangible Book Value Average,2.96,0,0,2.50
Price/Tangible Book Value High,3.43,0,0,3.27
Price/Tangible Book Value Low,2.49,0,0,0.68
Price/Sales,5.46,0,0,4.36
Price/Sales Average,6.15,0,0,4.74
Price/Sales High,7.13,0,0,6.19
Price/Sales Low,5.16,0,0,1.29
Price/Cash Flow,14.70,0,0,16.07
Price/Cash Flow Average,16.56,0,0,17.46
Price/Cash Flow High,19.19,0,0,22.84
Price/Cash Flow Low,13.90,0,0,4.76
Price/Free Cash Flow,10.69,0,0,11.55
Price/Free Cash Flow Average,12.04,0,0,12.54
Price/Free Cash Flow High,13.96,0,0,16.41
Price/Free Cash Flow Low,10.10,0,0,3.42
EV/Sales,8.92,3.09,3.27,7.48
EV/Sales Average,9.68,3.16,3.27,7.85
EV/Sales High,10.68,3.16,3.27,9.31
EV/Sales Low,8.68,3.16,3.27,4.41
EV/EBITDA,18.00,6.82,7.64,18.22
EV/EBITDA Average,19.54,6.96,7.64,19.13
EV/EBITDA High,21.55,6.96,7.64,22.69
EV/EBITDA Low,17.51,6.96,7.64,10.74
EV/EBIT,40.61,19.86,29.67,63.80
EV/EBIT Average,44.09,20.26,29.67,67.01
EV/EBIT High,48.63,20.26,29.67,79.47
EV/EBIT Low,39.51,20.26,29.67,37.61
Last Price,57.74,0,0,45.05
High Price,75.40,0,0,64.02
Low Price,54.59,0,0,13.35
Enterprise Value,34541,11746,12503,30868
Enterprise Value Average,37500,11984,12503,32422
Enterprise Value High,41362,11984,12503,38450
Enterprise Value Low,33604,11984,12503,18196
