,2019,2020,2021,2022
Market Capitalization,21526,0,0,18006
- Cash & Cash Equivalents,106,413,150,123
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,100,98,91,69
+ Total Debt,13259,12299,12561,12915
Enterprise Value,34541,11746,12503,30868
Total Capital,9782,8460,8073,7635
Total Debt/Capital (%),135.54,145.37,155.60,169.17
Total Debt / EV,0.38,1.05,1.00,0.42
EV/Sales,8.92,3.09,3.27,7.48
EV/EBITDA,18.00,6.82,7.64,18.22
EV/EBIT,40.61,19.86,29.67,63.80
EV/Cash Flow to Firm,17.66,5.73,8.73,21.27
EV/Free Cash Flow to Firm,13.73,4.55,6.71,16.20
Diluted Market Cap,21357,0,0,18176
Diluted Enterprise Value,34609,11984,12503,31037
EV per Share,92.65,31.36,31.30,77.23
TTM Sales,3873,3795,3828,4129
TTM EBITDA,1919,1722,1637,1695
TTM Operating Income,851,591,421,484
TTM Cash Flow to Firm,1956,2051,1432,1451
TTM Free Cash Flow to Firm,2516,2580,1865,1905
