,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,9577,11480,14201,15007,16944,22391,26671,28012,31158,34626
ST Debt,705,462,594,758,800,1466,1257,1069,2166,1678
LT Debt,8872,11018,13607,14249,16144,20925,25414,26943,28992,32948
Total Debt/EBITDA,1.04,1.08,1.41,1.61,1.67,2.09,2.48,2.79,2.70,2.85
Net Debt/EBITDA,0.88,0.93,1.27,1.47,1.54,1.97,2.26,2.48,2.49,2.66
Total Debt/EBIT,1.29,1.31,1.76,2.06,2.10,2.63,3.12,3.58,3.34,3.49
Net Debt/EBIT,1.09,1.13,1.59,1.89,1.94,2.48,2.85,3.18,3.08,3.26
EBITDA to Interest Expense,17.53,19.00,16.18,13.34,14.14,12.31,10.26,8.80,9.98,9.57
EBITDA-CapEx/Interest Expense,10.89,11.25,8.70,8.32,9.64,8.36,6.97,6.24,7.44,6.72
EBIT to Interest Expense,14.16,15.60,12.95,10.42,11.21,9.79,8.15,6.87,8.07,7.80
Interest Expense,526,561,622,698,719,870,1050,1141,1157,1271
Common Equity/Total Assets,53.64,57.18,60.46,63.47,76.28,81.26,83.32,86.71,91.04,94.22
Long-Term Debt/Equity (%),41.80,52.00,65.73,71.49,64.95,102.46,140.19,158.88,204.73,270.89
Long-Term Debt/Capital (%),24.47,26.47,28.82,28.29,26.45,29.70,32.56,32.81,32.58,34.22
Long-Term Debt/Total Assets (%),17.84,20.90,24.92,25.57,27.93,35.38,41.21,43.18,45.64,50.34
Total Debt/Equity (%),45.12,54.18,68.60,75.29,68.17,109.64,147.13,165.18,220.03,284.68
Total Debt/Capital (%),26.42,27.58,30.08,29.79,27.76,31.78,34.17,34.11,35.01,35.96
Total Debt/Total Assets (%),19.26,21.78,26.01,26.93,29.31,37.86,43.25,44.89,49.05,52.91
Net Debt to Equity,38.37,46.69,61.88,68.88,63.04,103.40,134.43,147.01,203.16,266.00
Net Debt/Capital (%),23.39,24.71,27.96,27.97,26.22,30.53,31.56,31.04,32.68,33.94
EBITDA,9223,10657,10064,9310,10166,10708,10770,10044,11546,12163
EBITDA-CapEx,5727,6311,5414,5805,6928,7271,7317,7117,8610,8543
Operating Income (Loss),7446,8753,8052,7272,8061,8517,8554,7834,9338,9917
