,2019,2020,2021,2022
Cash Ratio,1.26,1.27,2.31,2.53
Current Ratio,2.51,1.75,3.33,3.55
Quick Ratio,1.99,1.61,3.07,3.22
CFO/Avg Current Liab,0,0.59,0.72,1.38
Common Equity/Total Assets,-25.96,-4.27,-19.51,0.56
Long-Term Debt/Equity (%),37.71,1.01,221.21,145.29
Long-Term Debt/Capital (%),-128.91,1.75,150.59,91.72
Long-Term Debt/Total Assets (%),14.39,0.41,45.77,38.89
Total Debt/Equity (%),38.77,68.36,241.22,156.30
Total Debt/Capital (%),-132.53,118.30,164.21,98.67
Total Debt/Total Assets (%),14.80,27.57,49.90,41.84
CFO/Total Liabilities,31.53,30.21,21.35,32.98
CFO/CapEx,9.40,10.52,6.70,16.04
Altman's Z-Score,6.01,20.53,10.44,11.69
