,2019,2020,2021,2022
Market Capitalization,3217,22629,24495,36151
- Cash & Cash Equivalents,251,679,119,473
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0
+ Total Debt,106,331,1038,1290
Enterprise Value,3071,22280,24516,35829
Total Capital,-80,280,632,1308
Total Debt/Capital (%),-132.53,118.30,164.21,98.67
Total Debt / EV,0.03,0.01,0.04,0.04
EV/Sales,4.92,28.77,17.74,15.37
EV/EBITDA,25.71,109.40,98.75,70.33
EV/EBIT,29.16,119.51,113.59,79.51
EV/Cash Flow to Firm,19.64,92.87,60.33,47.57
EV/Free Cash Flow to Firm,17.94,85.54,53.43,44.81
Diluted Market Cap,3440,24902,26138,38258
Diluted Enterprise Value,3294,24554,27056,39075
EV per Share,24.95,172.77,183.10,262.60
TTM Sales,624,774,1382,2331
TTM EBITDA,119,204,248,509
TTM Operating Income,105,186,216,451
TTM Cash Flow to Firm,156,240,406,753
TTM Free Cash Flow to Firm,171,260,459,800
